,Total_transmission,P-N_count,P-HC_count,N-P_count,N-HC_count,N-N_count,HC-P_count,HC-N_count,HC-HC_count,HCW_community_trans_count,Total_trans_non_covid_wards,Total_trans_covid_wards,Asympt_patient_admission_count,Exposed_patient_admission_count,Total_patients_admitted,Num_susceptible_patients,num_replacement_hcw,trans_counts_from_pre_symptomatic,trans_counts_from_symptomatic,trans_counts_from_assymptomatic,Trans_count_patients,P-N,P-HC,N-P,N-HC,N-N,HC-P,HC-N,HC-HC
0,106.0,47.0,16.0,27.0,1.0,2.0,12.0,1.0,0.0,117.0,83.0,23.0,0.0,3.0,9881.0,9720.0,184.0,74.0,22.0,10.0,39.0,44.339622641509436,15.09433962264151,25.471698113207548,0.9433962264150944,1.8867924528301887,11.320754716981131,0.9433962264150944,0.0
1,88.0,42.0,12.0,23.0,1.0,3.0,5.0,1.0,1.0,127.0,73.0,15.0,0.0,2.0,9871.0,9711.0,185.0,67.0,12.0,9.0,28.0,47.72727272727273,13.636363636363637,26.136363636363637,1.1363636363636365,3.409090909090909,5.681818181818182,1.1363636363636365,1.1363636363636365
2,133.0,62.0,21.0,32.0,3.0,3.0,10.0,1.0,1.0,119.0,107.0,26.0,0.0,1.0,9875.0,9716.0,210.0,88.0,21.0,24.0,42.0,46.61654135338346,15.789473684210526,24.06015037593985,2.255639097744361,2.255639097744361,7.518796992481203,0.7518796992481203,0.7518796992481203
3,103.0,51.0,11.0,25.0,2.0,5.0,6.0,2.0,1.0,135.0,83.0,20.0,0.0,5.0,10033.0,9870.0,205.0,80.0,18.0,5.0,31.0,49.51456310679612,10.679611650485437,24.271844660194176,1.941747572815534,4.854368932038835,5.825242718446602,1.941747572815534,0.970873786407767
4,117.0,61.0,15.0,30.0,4.0,2.0,3.0,2.0,0.0,128.0,92.0,25.0,0.0,3.0,10157.0,9996.0,212.0,83.0,24.0,10.0,33.0,52.136752136752136,12.820512820512821,25.641025641025642,3.4188034188034186,1.7094017094017093,2.5641025641025643,1.7094017094017093,0.0
5,124.0,43.0,31.0,32.0,3.0,5.0,5.0,4.0,1.0,135.0,95.0,29.0,1.0,4.0,9969.0,9806.0,220.0,89.0,27.0,8.0,37.0,34.67741935483871,25.0,25.806451612903224,2.4193548387096775,4.032258064516129,4.032258064516129,3.225806451612903,0.8064516129032258
6,142.0,68.0,18.0,32.0,3.0,4.0,11.0,5.0,1.0,126.0,115.0,27.0,0.0,4.0,9846.0,9684.0,224.0,109.0,25.0,8.0,43.0,47.88732394366197,12.67605633802817,22.535211267605632,2.112676056338028,2.816901408450704,7.746478873239437,3.5211267605633805,0.704225352112676
7,153.0,64.0,25.0,39.0,4.0,4.0,12.0,4.0,1.0,120.0,126.0,27.0,1.0,2.0,10042.0,9881.0,222.0,117.0,23.0,13.0,51.0,41.830065359477125,16.33986928104575,25.49019607843137,2.6143790849673203,2.6143790849673203,7.8431372549019605,2.6143790849673203,0.6535947712418301
8,172.0,83.0,24.0,45.0,2.0,6.0,8.0,4.0,0.0,139.0,144.0,28.0,0.0,1.0,9855.0,9696.0,258.0,132.0,24.0,16.0,53.0,48.25581395348837,13.953488372093023,26.162790697674417,1.1627906976744187,3.488372093023256,4.651162790697675,2.3255813953488373,0.0
9,99.0,48.0,14.0,22.0,2.0,2.0,8.0,3.0,0.0,106.0,75.0,24.0,0.0,1.0,9886.0,9727.0,172.0,70.0,22.0,7.0,30.0,48.484848484848484,14.141414141414142,22.22222222222222,2.0202020202020203,2.0202020202020203,8.080808080808081,3.0303030303030303,0.0
