exposed mean,exposed stdv,symptomatic mean,symptomatic stdv,asymptomatic mean,saymptomatic stdv
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.5751591786697668,0.0,0.0,0.11,0.3450955072018601
0.45,0.6871842709362769,0.0,0.0,0.2,0.4264014327112209
0.71,0.8795660086863087,0.01,0.09999999999999999,0.34,0.5898125023079689
0.99,0.9999494936740504,0.02,0.14070529413628968,0.42,0.6843119378491277
1.22,1.0878576852853241,0.09,0.3208259542638235,0.56,0.8326663997864531
1.67,1.2953296058836872,0.18,0.41145221993924064,0.75,0.9360890055238478
1.86,1.2872333498514155,0.34,0.6066966359563963,0.93,1.0565333057990298
2.3,1.4248870236980298,0.54,0.7967104083338404,1.16,1.1696498655926089
2.67,1.6999999999999997,0.81,0.9918353561642042,1.48,1.3063945294843615
3.16,1.9577352407124085,1.08,1.1518978630367742,1.89,1.4134634016764593
3.98,2.251733339075262,1.45,1.2978225742925855,2.3,1.5275252316519468
4.66,2.387763418225127,1.79,1.208513570674757,2.83,1.7352844496543272
5.51,2.691156486034068,2.21,1.4515404565390855,3.34,1.985909963678712
6.15,2.815451593753243,2.69,1.6978596151411556,4.0,2.098580568870398
6.98,2.842605150280995,3.26,1.9364655922321443,4.59,2.1466205528643854
7.65,3.046358979224712,4.06,2.1872911155679358,5.15,2.2802401078603434
8.56,3.1664912232101114,4.68,2.4939522809785237,6.03,2.4554824249816853
9.58,3.2417104850197327,5.56,2.6027180819561333,6.91,2.558783644111736
10.86,3.405343394778805,6.37,2.9358632340919644,7.94,2.7918351373860593
11.48,3.4567457107937387,7.46,3.208007657614478,9.04,3.0679839068230543
12.18,3.591178867247586,8.54,3.3315752939703978,9.97,3.1986581782700916
13.2,3.559026084010437,9.52,3.3799169196650953,10.91,3.4556205132093325
14.38,3.650875085358151,10.45,3.6303295896230865,12.11,3.9077622830215835
15.77,4.160553090660185,11.25,3.8674372272954485,13.06,4.230290006057922
16.98,4.04015201234165,12.35,3.7183003611539474,14.22,4.379889763845015
17.79,4.083212737860503,13.66,3.8276505967641676,15.28,4.703491073960732
18.62,4.32932215283528,14.68,3.9411837425993337,16.29,4.801714761047833
19.17,5.085243059057942,15.93,3.7665593977753353,17.44,4.837396411335755
19.25,5.099762323635853,16.86,4.168230009745313,18.34,4.926161863669393
19.65,4.895627816447214,17.78,4.07649086565612,18.99,4.793714318740425
19.34,5.035670739631395,19.69,4.659507495541787,20.01,4.977718028140683
18.56,4.757386601142193,20.84,4.796294866294653,20.27,4.92336215908346
17.82,4.729832251921112,21.67,4.980882644591411,20.42,4.807779890422134
17.24,4.964764736509565,22.36,5.048292040408571,20.47,4.569231750292251
16.74,4.842196679903521,22.47,5.437347466802859,20.25,4.370181329016549
16.04,4.5436602519167835,22.97,5.439204858704027,20.36,4.326381369872027
15.73,4.570115928065676,23.03,5.36064032056476,20.19,4.229991522784446
14.38,4.396463225012679,22.46,5.47984369016917,19.87,4.359258114992884
14.07,3.9574887456210375,21.39,5.222126584123182,19.24,4.415583057465201
13.21,3.983032193511051,20.67,5.17385619038526,18.71,4.365371077750968
12.77,4.037338357148309,19.67,5.230166963362304,18.08,4.2821688076218685
11.84,3.7865258189767803,19.35,5.313172120287275,17.21,4.008312070755676
11.14,3.75518496766992,18.47,5.271334716840669,16.3,3.7832699233773046
10.69,4.046934243063108,17.59,4.956568950148455,15.55,3.6937703493773673
10.13,3.5806861257743794,16.57,4.860176244881777,14.77,3.6676444977145977
9.92,3.4719074604806814,16.04,4.644797241445683,13.92,3.6973372892262657
9.34,3.346096776299759,15.36,4.52048088976687,13.25,3.7668811952852908
8.92,3.558117763678153,14.71,4.259973443270948,12.65,3.7641987087814477
8.41,3.1272507046440916,13.53,4.300469788760339,12.17,3.6681952736538666
7.77,3.1554186198770307,12.81,4.135813039167691,11.23,3.3840236644586517
7.24,3.312419238580951,12.3,3.875590538253754,10.7,3.2921700804156275
6.78,3.2304735869465944,11.73,3.8739091002721935,10.11,3.268753198812581
6.51,3.0467568450283777,11.08,3.686393216884893,9.85,3.4826409345190723
6.17,2.621029946375657,10.4,3.706396327617129,9.5,3.3978602892783196
5.87,2.4970892145565293,9.79,3.838389287609104,8.81,3.2526446116501826
5.29,2.2754508932685775,9.47,3.3195320346839443,8.24,3.101384506730157
5.04,2.304672460788116,8.95,3.4535152637229904,7.79,2.934624371537217
4.68,2.3905538008477185,8.48,3.5490217744549772,7.23,2.8099929903935004
4.3,2.2270150335361367,7.95,3.5685919470918055,6.83,2.835756539534935
4.23,2.168903274501059,7.5,3.2983007562664564,6.46,2.7903875405152285
4.12,2.462978405561573,7.02,2.6703762077484683,6.05,2.6982036673133165
4.12,2.3018657342655455,6.64,2.64200719533502,5.56,2.527904869709901
3.8,2.300636714679068,6.1,2.476148850798985,5.24,2.4908722256359206
3.54,1.8878666277151053,5.83,2.590015794967633,4.9,2.447427014212883
3.32,1.8634170849069813,5.33,2.651681380070792,4.76,2.5190987646097933
3.13,1.6976216280193863,5.06,2.6886217414665956,4.43,2.4173405539011985
2.9,1.6422453217986943,4.86,2.5146841478874364,4.09,2.344540186661062
2.75,1.6598344812210961,4.6,2.5025239784318276,3.55,2.2400171355765934
2.83,1.8425662824035678,4.44,2.4134304350128812,3.33,2.197588209695788
2.3,1.7552230857666158,4.34,2.3450786637965773,3.04,2.0642214273207466
2.32,1.626050553962085,3.94,2.029181055888251,3.01,1.9565740001803709
2.27,1.5689860329898324,3.78,2.0527389930864017,2.91,1.7413277182145301
2.23,1.3915691310404403,3.56,1.8603790207939084,2.81,1.7214921880552791
2.16,1.46142313371507,3.38,1.8736880932287185,2.61,1.687116959894493
2.15,1.4728176802279092,3.26,1.8565744495895358,2.58,1.676817572581219
2.17,1.504572156374487,3.1,1.89363633939006,2.5,1.6422453217986943
2.17,1.4498693776065525,2.85,1.8768929838238708,2.43,1.57797338380595
2.18,1.4025949975929357,2.85,1.731321676487286,2.37,1.574127945206103
2.07,1.4788406597634842,2.79,1.7769284587384904,2.36,1.5009761133773225
1.96,1.5303000300000593,2.72,1.7295997084629584,2.32,1.5497148646174113
1.79,1.5653766449018078,2.72,1.5896127474541362,2.3,1.534123643496623
1.8,1.4770978917519928,2.65,1.7019003045021899,2.28,1.5047399855930008
1.63,1.382831234179436,2.7,1.7724034928351224,2.32,1.562696452296543
1.55,1.3437096247164249,2.64,1.690854783531069,2.17,1.570273089547667
1.34,1.224497423187954,2.71,1.695478240687997,2.29,1.6593475655914718
1.43,1.2812162781962895,2.56,1.6956271745733245,2.15,1.6353111093129722
1.39,1.1797534411130919,2.43,1.788035432274961,2.04,1.5564788024982104
1.28,1.2067152175064406,2.29,1.7939010028652105,1.98,1.435340384787532
1.28,1.0832051206181281,2.12,1.6347242068077514,1.87,1.4188841824589924
1.2,1.119162746219357,1.98,1.6513233138512537,1.78,1.3452497796680618
1.05,1.07661084384791,1.91,1.5769488503967644,1.68,1.293964232250426
1.0,1.0150384378451045,1.66,1.4648749386410382,1.57,1.2812162781962895
0.91,0.9754046039537344,1.64,1.4600401267489782,1.47,1.250898666858141
0.81,0.9815983667138783,1.58,1.3497474511249066,1.3,1.1415035273840828
0.75,0.9142530206997327,1.41,1.3416031417296959,1.19,1.1343578257180038
0.67,0.7528397417562896,1.35,1.2257753678897505,1.13,1.1069568805303733
0.59,0.7533762390570582,1.25,1.1579762911688178,1.06,1.0807778717575633
0.52,0.7585206228927039,1.11,1.1091447246423798,0.95,0.9782999065065411
0.42,0.6224746962525848,1.03,1.0488570017409475,0.86,0.899157855153837
0.38,0.582228390745332,0.87,0.9811866655877833,0.72,0.8297498710363554
0.32,0.5482755334738735,0.8,0.9428090415820635,0.67,0.8047209190618557
0.24,0.4739688435398098,0.79,0.9022418766829681,0.6,0.7521014330903549
0.25,0.5,0.71,0.7951240294584376,0.51,0.6741249472052229
0.23,0.4893822120745191,0.58,0.7272474743090476,0.43,0.6236905474591539
0.26,0.5434643827828419,0.5,0.7453559924999299,0.36,0.5949280577846316
0.21,0.5182526976156117,0.44,0.6407066805528491,0.35,0.5924610544247622
0.21,0.5182526976156117,0.43,0.6236905474591538,0.35,0.5924610544247622
0.22,0.5237780391954538,0.36,0.5949280577846316,0.33,0.5695115752497348
0.21,0.47768380565162366,0.31,0.5630903187506485,0.35,0.5573204290227127
0.23,0.4893822120745191,0.3,0.5773502691896258,0.36,0.5777000724747867
0.2,0.4264014327112209,0.34,0.6231234454607115,0.3,0.5025189076296059
0.28,0.6043612539305654,0.38,0.6321360293449184,0.3,0.5025189076296059
0.35,0.7571210756756962,0.32,0.6175873552900363,0.29,0.5182526976156117
0.36,0.7456269817808341,0.29,0.5737524894864676,0.33,0.5328596381218922
0.35,0.7159792333764037,0.32,0.6010092521851234,0.32,0.5295319068800673
0.41,0.7797305932049851,0.3,0.5595813731096784,0.38,0.564613034553648
0.45,0.7571210756756963,0.31,0.5807518637703432,0.37,0.580055727033745
0.47,0.6883591968139773,0.29,0.5558685986722932,0.37,0.6138963160572694
0.43,0.6396811074214395,0.32,0.6175873552900363,0.43,0.6854181058288289
0.47,0.6583573068132103,0.33,0.6365151334819268,0.47,0.7171069824248153
0.44,0.7009373233842889,0.41,0.7797305932049852,0.48,0.7174590404667537
0.53,0.8097262288308102,0.43,0.7818005635787948,0.48,0.7314024165597862
0.48,0.7847022210734311,0.49,0.8586458683722452,0.5,0.7316785737969477
0.53,0.8221061889187953,0.53,0.8814015468948797,0.5,0.7453559924999299
0.53,0.8097262288308102,0.54,0.8459051693633015,0.52,0.7717224601860151
0.45,0.7961396760860395,0.59,0.8420153793072304,0.6,0.8164965809277259
0.43,0.7142842712828137,0.67,0.9540450828980883,0.62,0.8382280492958122
0.44,0.7954415583355404,0.58,0.8896713727636466,0.62,0.8382280492958122
0.38,0.6931118527366563,0.61,0.8633385983225442,0.61,0.8274946977156259
0.39,0.7900262110470855,0.58,0.8549322142188179,0.6,0.8040302522073696
0.43,0.807227453457922,0.55,0.8333333333333334,0.57,0.7420283421851624
0.52,0.8346050901867641,0.55,0.7961396760860395,0.58,0.713222874483754
0.5,0.8587046857760456,0.49,0.7452882297839846,0.55,0.7017294652672371
0.42,0.7410066862659939,0.54,0.744271048704297,0.54,0.7166138105949071
0.46,0.7839294959021854,0.58,0.7936617603859908,0.55,0.7571210756756963
0.48,0.7174590404667537,0.53,0.8097262288308102,0.55,0.7571210756756963
0.5,0.7177405625652734,0.53,0.8814015468948797,0.56,0.7826399252052328
0.47,0.7028800779936818,0.58,0.9231041177035297,0.56,0.8204458014587637
0.48,0.7174590404667537,0.56,0.8798530639495518,0.57,0.8558178792384757
0.45,0.7436600722307896,0.59,0.8887057892227211,0.53,0.8343024667712581
0.44,0.7291893935852137,0.53,0.8221061889187953,0.5,0.8102873913406629
0.44,0.8204458014587637,0.56,0.8565847148632606,0.49,0.7976607212735412
0.48,0.8701561452818208,0.55,0.7571210756756963,0.49,0.7719187689508434
0.49,0.8818598344843513,0.58,0.8187203614806647,0.47,0.744745906095807
0.58,0.9339824582524193,0.53,0.7843803447642765,0.55,0.7833494518006403
0.67,0.8995509541943243,0.54,0.8092895000860292,0.55,0.8087276451565163
0.67,0.9107106782035331,0.55,0.8572330399888264,0.55,0.8087276451565163
0.73,0.897302354366417,0.6,1.005037815259212,0.61,0.8396127053287695
0.93,0.9873441572463397,0.55,0.9987365756167877,0.58,0.7410066862659938
0.94,1.0523662610872448,0.58,1.0168281044205032,0.64,0.759053104968036
0.95,1.0952145677879517,0.63,0.9391055275735481,0.69,0.8127146181194544
1.05,1.2502524997500757,0.68,0.9307323064461802,0.7,0.8468599159080072
1.0,1.2712834523274563,0.86,1.0251385715643964,0.7,0.8587046857760456
0.89,1.2218135221171367,0.96,1.1002295444610868,0.73,0.8859737552261325
0.87,1.0977939310961393,0.97,1.039181884897437,0.82,0.9252900173251714
0.76,0.9961542211541506,1.16,1.1952769004238593,0.86,0.995139703912486
0.79,0.9133687230480494,1.24,1.3266499161421599,0.89,0.9733312577810996
0.86,0.9849370589540278,1.17,1.3031042967010766,1.01,1.0963207522979723
0.84,0.9610600208292736,1.24,1.356763826466523,1.05,1.1043989178267832
0.85,0.8804842561071293,1.12,1.3278675849768768,0.99,1.0298082590973185
0.76,0.7669959767057636,1.06,1.3395310501602544,1.01,1.0395706184319904
0.6,0.6666666666666666,1.1,1.2102257907706582,1.02,1.0442724982039173
0.52,0.6110100926607788,1.04,1.109372376935297,0.95,1.03840398125336
0.54,0.7023769168568492,0.99,1.1145955465204553,0.91,1.0059921480907303
0.52,0.7847022210734311,1.05,1.0952145677879515,0.96,1.033968524226395
0.55,0.8333333333333334,0.98,1.0247443632931141,0.91,1.0453842751965818
0.58,0.8309663353620593,0.95,1.0087996667707455,0.93,1.0565333057990298
0.58,0.8062884162016778,0.88,0.8561128973034415,0.98,1.0728984626287388
0.58,0.7936617603859908,0.79,0.8077278269468265,1.01,1.0492421507493352
0.7,0.7977240352174657,0.71,0.8562898593539009,0.98,0.9637888196533974
