,peak transmission
0,5.0
1,5.0
2,3.0
3,4.0
4,4.0
5,3.0
6,4.0
7,6.0
8,3.0
9,5.0
10,6.0
11,5.0
12,3.0
13,5.0
14,4.0
15,2.0
16,3.0
17,5.0
18,4.0
19,4.0
20,2.0
21,5.0
22,3.0
23,3.0
24,4.0
25,4.0
26,4.0
27,3.0
28,4.0
29,4.0
30,3.0
31,4.0
32,4.0
33,4.0
34,7.0
35,4.0
36,4.0
37,3.0
38,4.0
39,3.0
40,4.0
41,6.0
42,4.0
43,4.0
44,3.0
45,3.0
46,3.0
47,4.0
48,5.0
49,5.0
50,3.0
51,3.0
52,3.0
53,4.0
54,5.0
55,4.0
56,5.0
57,3.0
58,4.0
59,5.0
60,2.0
61,3.0
62,5.0
63,5.0
64,4.0
65,4.0
66,3.0
67,4.0
68,3.0
69,3.0
70,4.0
71,5.0
72,2.0
73,3.0
74,4.0
75,4.0
76,3.0
77,4.0
78,3.0
79,6.0
80,5.0
81,3.0
82,5.0
83,4.0
84,4.0
85,5.0
86,4.0
87,4.0
88,5.0
89,4.0
90,4.0
91,2.0
92,5.0
93,3.0
94,5.0
95,4.0
96,3.0
97,3.0
98,7.0
99,4.0
