,Total_transmission,P-N_count,P-HC_count,N-P_count,N-HC_count,N-N_count,HC-P_count,HC-N_count,HC-HC_count,HCW_community_trans_count,Total_trans_non_covid_wards,Total_trans_covid_wards,Asympt_patient_admission_count,Exposed_patient_admission_count,Total_patients_admitted,Num_susceptible_patients,num_replacement_hcw,trans_counts_from_pre_symptomatic,trans_counts_from_symptomatic,trans_counts_from_assymptomatic,Trans_count_patients,P-N,P-HC,N-P,N-HC,N-N,HC-P,HC-N,HC-HC
0,532.0,180.0,55.0,199.0,13.0,20.0,48.0,14.0,3.0,118.0,518.0,14.0,0.0,2.0,9905.0,9745.0,384.0,437.0,9.0,86.0,247.0,33.83458646616541,10.338345864661655,37.40601503759399,2.443609022556391,3.7593984962406015,9.022556390977444,2.6315789473684212,0.5639097744360902
1,498.0,153.0,61.0,170.0,12.0,23.0,70.0,7.0,2.0,133.0,490.0,8.0,0.0,2.0,10017.0,9857.0,372.0,425.0,5.0,68.0,240.0,30.72289156626506,12.248995983935743,34.136546184738954,2.4096385542168677,4.618473895582329,14.056224899598394,1.4056224899598393,0.40160642570281124
2,455.0,154.0,58.0,162.0,9.0,19.0,39.0,14.0,0.0,112.0,447.0,8.0,0.0,4.0,9810.0,9648.0,349.0,379.0,6.0,70.0,201.0,33.84615384615385,12.747252747252746,35.604395604395606,1.978021978021978,4.175824175824176,8.571428571428571,3.076923076923077,0.0
3,394.0,124.0,43.0,143.0,10.0,22.0,39.0,12.0,1.0,119.0,392.0,2.0,1.0,2.0,9863.0,9702.0,320.0,334.0,1.0,59.0,182.0,31.472081218274113,10.913705583756345,36.29441624365482,2.5380710659898478,5.583756345177665,9.898477157360405,3.045685279187817,0.25380710659898476
4,392.0,124.0,37.0,151.0,8.0,20.0,40.0,9.0,3.0,129.0,384.0,8.0,0.0,0.0,10134.0,9976.0,317.0,323.0,2.0,67.0,191.0,31.632653061224488,9.438775510204081,38.52040816326531,2.0408163265306123,5.1020408163265305,10.204081632653061,2.295918367346939,0.7653061224489796
5,403.0,129.0,44.0,155.0,12.0,10.0,40.0,9.0,4.0,128.0,389.0,14.0,1.0,1.0,9882.0,9722.0,322.0,337.0,5.0,61.0,195.0,32.00992555831265,10.918114143920596,38.46153846153846,2.977667493796526,2.4813895781637716,9.925558312655086,2.2332506203473947,0.9925558312655087
6,489.0,164.0,62.0,181.0,9.0,22.0,43.0,8.0,0.0,129.0,474.0,15.0,1.0,0.0,9993.0,9834.0,372.0,395.0,9.0,85.0,224.0,33.537832310838446,12.678936605316974,37.01431492842536,1.8404907975460123,4.4989775051124745,8.793456032719837,1.6359918200408998,0.0
7,412.0,135.0,49.0,140.0,7.0,19.0,52.0,5.0,5.0,118.0,406.0,6.0,0.0,2.0,9835.0,9675.0,317.0,346.0,1.0,65.0,192.0,32.76699029126213,11.893203883495145,33.980582524271846,1.6990291262135921,4.611650485436893,12.62135922330097,1.2135922330097086,1.2135922330097086
8,363.0,115.0,51.0,128.0,9.0,14.0,35.0,11.0,0.0,108.0,350.0,13.0,1.0,2.0,10045.0,9884.0,293.0,314.0,7.0,42.0,163.0,31.68044077134986,14.049586776859504,35.26170798898072,2.479338842975207,3.8567493112947657,9.641873278236915,3.0303030303030303,0.0
9,460.0,152.0,51.0,185.0,8.0,9.0,47.0,7.0,1.0,124.0,447.0,13.0,0.0,1.0,9945.0,9786.0,339.0,404.0,9.0,47.0,232.0,33.04347826086956,11.08695652173913,40.21739130434783,1.7391304347826086,1.9565217391304348,10.217391304347826,1.5217391304347827,0.21739130434782608
