,peak transmission
0,14.0
1,14.0
2,14.0
3,12.0
4,8.0
5,9.0
6,10.0
7,13.0
8,13.0
9,13.0
10,18.0
11,12.0
12,11.0
13,11.0
14,13.0
15,11.0
16,14.0
17,9.0
18,11.0
19,12.0
20,10.0
21,7.0
22,15.0
23,15.0
24,11.0
25,11.0
26,14.0
27,9.0
28,11.0
29,16.0
30,12.0
31,8.0
32,9.0
33,13.0
34,16.0
35,23.0
36,9.0
37,8.0
38,10.0
39,12.0
40,12.0
41,12.0
42,20.0
43,13.0
44,10.0
45,11.0
46,15.0
47,17.0
48,16.0
49,8.0
50,9.0
51,12.0
52,15.0
53,11.0
54,11.0
55,17.0
56,9.0
57,15.0
58,10.0
59,11.0
60,10.0
61,16.0
62,13.0
63,12.0
64,11.0
65,10.0
66,13.0
67,9.0
68,12.0
69,13.0
70,19.0
71,8.0
72,7.0
73,11.0
74,9.0
75,14.0
76,11.0
77,13.0
78,8.0
79,13.0
80,11.0
81,11.0
82,10.0
83,10.0
84,14.0
85,11.0
86,8.0
87,8.0
88,12.0
89,12.0
90,11.0
91,9.0
92,13.0
93,18.0
94,18.0
95,12.0
96,6.0
97,10.0
98,14.0
99,13.0
