,peak transmission
0,4.0
1,3.0
2,5.0
3,7.0
4,5.0
5,3.0
6,4.0
7,5.0
8,6.0
9,6.0
10,4.0
11,4.0
12,4.0
13,3.0
14,5.0
15,4.0
16,5.0
17,4.0
18,4.0
19,3.0
20,4.0
21,3.0
22,5.0
23,4.0
24,5.0
25,5.0
26,4.0
27,4.0
28,4.0
29,5.0
30,5.0
31,6.0
32,4.0
33,4.0
34,5.0
35,7.0
36,5.0
37,4.0
38,5.0
39,4.0
40,3.0
41,2.0
42,4.0
43,3.0
44,3.0
45,4.0
46,6.0
47,4.0
48,5.0
49,4.0
50,4.0
51,4.0
52,5.0
53,4.0
54,6.0
55,3.0
56,5.0
57,4.0
58,4.0
59,8.0
60,3.0
61,4.0
62,4.0
63,6.0
64,3.0
65,4.0
66,3.0
67,6.0
68,6.0
69,6.0
70,3.0
71,3.0
72,5.0
73,5.0
74,3.0
75,5.0
76,5.0
77,3.0
78,3.0
79,3.0
80,4.0
81,4.0
82,4.0
83,4.0
84,3.0
85,3.0
86,4.0
87,5.0
88,4.0
89,5.0
90,5.0
91,3.0
92,10.0
93,7.0
94,6.0
95,4.0
96,5.0
97,4.0
98,5.0
99,8.0
