,peak transmission
0,5.0
1,4.0
2,4.0
3,4.0
4,4.0
5,3.0
6,3.0
7,4.0
8,7.0
9,4.0
10,4.0
11,3.0
12,4.0
13,6.0
14,4.0
15,5.0
16,5.0
17,4.0
18,5.0
19,5.0
20,3.0
21,4.0
22,5.0
23,3.0
24,4.0
25,5.0
26,3.0
27,3.0
28,6.0
29,6.0
30,4.0
31,4.0
32,5.0
33,7.0
34,4.0
35,4.0
36,3.0
37,6.0
38,3.0
39,5.0
40,4.0
41,3.0
42,4.0
43,4.0
44,5.0
45,5.0
46,4.0
47,3.0
48,5.0
49,4.0
50,4.0
51,4.0
52,4.0
53,9.0
54,2.0
55,4.0
56,4.0
57,5.0
58,5.0
59,4.0
60,4.0
61,4.0
62,5.0
63,4.0
64,3.0
65,6.0
66,5.0
67,3.0
68,4.0
69,3.0
70,4.0
71,3.0
72,5.0
73,4.0
74,9.0
75,3.0
76,3.0
77,5.0
78,5.0
79,5.0
80,5.0
81,4.0
82,5.0
83,3.0
84,4.0
85,4.0
86,3.0
87,4.0
88,4.0
89,3.0
90,6.0
91,5.0
92,5.0
93,4.0
94,4.0
95,5.0
96,3.0
97,6.0
98,5.0
99,4.0
