,peak transmission
0,6.0
1,8.0
2,5.0
3,7.0
4,4.0
5,6.0
6,8.0
7,7.0
8,7.0
9,7.0
10,5.0
11,5.0
12,6.0
13,4.0
14,7.0
15,9.0
16,5.0
17,5.0
18,11.0
19,7.0
20,7.0
21,6.0
22,9.0
23,6.0
24,6.0
25,7.0
26,8.0
27,7.0
28,6.0
29,6.0
30,6.0
31,6.0
32,8.0
33,6.0
34,9.0
35,4.0
36,5.0
37,7.0
38,7.0
39,6.0
40,6.0
41,5.0
42,6.0
43,8.0
44,8.0
45,7.0
46,8.0
47,8.0
48,7.0
49,7.0
50,5.0
51,5.0
52,6.0
53,6.0
54,6.0
55,6.0
56,6.0
57,6.0
58,5.0
59,3.0
60,10.0
61,6.0
62,7.0
63,4.0
64,7.0
65,4.0
66,8.0
67,7.0
68,6.0
69,7.0
70,6.0
71,6.0
72,6.0
73,7.0
74,5.0
75,7.0
76,4.0
77,7.0
78,6.0
79,6.0
80,5.0
81,7.0
82,7.0
83,9.0
84,4.0
85,7.0
86,7.0
87,5.0
88,5.0
89,7.0
90,7.0
91,6.0
92,7.0
93,6.0
94,9.0
95,8.0
96,5.0
97,5.0
98,6.0
99,6.0
