,num_contacts_traced,num_positive_contacts,contact_tracing_time,num_sympt_patients_traced,hcw_time_of_infection,hcw_current_ward,num_sympt_hcws_traced,day,sim,prevalence,n_total,n_pos,pos_rate
9022,12,0,81.10416666666667,0.0,78.0,11.0,0.0,81.0,59.0,0.0669144981412639,1136.0,57.0,0.0
9023,10,0,119.75,4.0,117.0,2.0,0.0,119.0,59.0,0.1299212598425196,1131.0,54.0,0.0
9024,11,0,115.79166666666669,1.0,112.0,8.0,0.0,115.0,59.0,0.1236363636363636,1155.0,65.0,0.0
9025,4,0,84.65277777777777,1.0,81.0,1.0,0.0,84.0,59.0,0.1278195488721804,1151.0,79.0,0.0
9026,14,0,78.61805555555556,0.0,76.0,17.0,0.0,78.0,59.0,0.0543933054393305,1101.0,41.0,0.0
9027,10,2,140.38194444444446,0.0,136.39583333333334,25.0,2.0,140.0,59.0,0.0588235294117647,1078.0,32.0,20.0
9028,12,1,158.52777777777777,0.0,151.0,27.0,0.0,158.0,59.0,0.0128755364806866,1099.0,7.0,8.333333333333332
9029,13,3,86.04861111111111,0.0,81.0,14.0,0.0,86.0,59.0,0.1563636363636363,1159.0,92.0,23.076923076923077
9030,4,0,68.0,0.0,63.0,2.0,0.0,68.0,59.0,0.0038910505836575,1125.0,8.0,0.0
9031,7,0,83.88888888888889,1.0,75.0,4.0,0.0,83.0,59.0,0.1149425287356321,1138.0,71.0,0.0
9032,12,1,65.97222222222223,0.0,64.0,12.0,0.0,65.0,59.0,0.0041666666666666,1099.0,4.0,8.333333333333332
9033,14,0,115.90972222222224,0.0,115.0,28.0,0.0,115.0,59.0,0.1236363636363636,1152.0,65.0,0.0
9034,19,0,232.72222222222223,0.0,229.0,12.0,0.0,232.0,59.0,0.0117647058823529,1115.0,5.0,0.0
9035,9,1,97.09027777777776,2.0,90.0,9.0,0.0,97.0,59.0,0.2315112540192926,1190.0,123.0,11.11111111111111
9036,12,0,122.96527777777776,0.0,116.0,16.0,0.0,122.0,59.0,0.0902255639097744,1142.0,44.0,0.0
9037,5,0,86.97222222222223,2.0,83.0,3.0,0.0,86.0,59.0,0.1563636363636363,1167.0,95.0,0.0
9038,8,2,107.65972222222224,1.0,102.0,20.0,2.0,107.0,59.0,0.1993243243243243,1178.0,94.0,25.0
9039,8,0,197.79166666666663,0.0,196.0,22.0,0.0,197.0,59.0,0.0,1122.0,1.0,0.0
9040,5,0,73.98611111111111,0.0,70.0,6.0,0.0,73.0,60.0,0.0158730158730158,1123.0,21.0,0.0
9041,6,0,94.13888888888889,1.0,88.19444444444444,5.0,3.0,94.0,60.0,0.2770700636942675,1232.0,174.0,0.0
9042,8,1,89.75,1.0,84.00694444444444,14.0,0.0,89.0,60.0,0.2179930795847751,1187.0,148.0,12.5
9043,15,0,104.55555555555556,1.0,100.375,22.0,2.0,104.0,60.0,0.2133333333333333,1186.0,110.0,0.0
9044,11,0,89.19444444444444,4.0,85.0,7.0,0.0,89.0,60.0,0.2179930795847751,1184.0,149.0,0.0
9045,14,0,90.13888888888889,2.0,87.51388888888889,24.0,1.0,90.0,60.0,0.2076124567474048,1185.0,148.0,0.0
9046,6,0,109.66666666666669,3.0,106.0,6.0,0.0,109.0,60.0,0.1724137931034483,1180.0,82.0,0.0
9047,10,0,92.34027777777776,0.0,87.35416666666667,28.0,1.0,92.0,60.0,0.2771929824561403,1192.0,166.0,0.0
9048,10,1,119.92361111111111,1.0,115.0,17.0,0.0,119.0,60.0,0.1220472440944882,1131.0,49.0,10.0
9049,7,1,119.75694444444444,0.0,116.83333333333331,19.0,1.0,119.0,60.0,0.1220472440944882,1134.0,49.0,14.285714285714285
9050,11,0,87.66666666666667,0.0,80.91666666666667,17.0,1.0,87.0,60.0,0.1892857142857142,1164.0,126.0,0.0
9051,15,1,94.66666666666669,4.0,87.0,25.0,1.0,94.0,60.0,0.2770700636942675,1223.0,173.0,6.666666666666667
9052,22,2,85.95138888888889,2.0,78.36805555555556,5.0,0.0,85.0,60.0,0.1423487544483986,1143.0,101.0,9.090909090909092
9053,5,0,83.88888888888889,4.0,81.0,1.0,0.0,83.0,60.0,0.1273408239700374,1141.0,77.0,0.0
9054,9,0,95.61111111111111,1.0,88.50694444444444,8.0,1.0,95.0,60.0,0.2571428571428571,1233.0,169.0,0.0
9055,11,0,92.8125,0.0,85.0,20.0,0.0,92.0,60.0,0.2771929824561403,1191.0,166.0,0.0
9056,12,2,85.02083333333333,0.0,80.0,17.0,0.0,85.0,60.0,0.1423487544483986,1153.0,101.0,16.666666666666664
9057,5,0,77.65972222222223,0.0,73.0,2.0,0.0,77.0,60.0,0.037037037037037,1120.0,29.0,0.0
9058,9,0,90.8125,1.0,86.0,11.0,1.0,90.0,60.0,0.2076124567474048,1190.0,148.0,0.0
9059,24,0,104.00694444444444,0.0,93.0,13.0,0.0,104.0,60.0,0.2133333333333333,1177.0,110.0,0.0
9060,9,0,101.0,0.0,94.86805555555556,21.0,0.0,101.0,60.0,0.2076677316293929,1208.0,124.0,0.0
9061,6,0,77.96527777777777,0.0,71.75,5.0,1.0,77.0,60.0,0.037037037037037,1119.0,29.0,0.0
9062,9,0,109.38888888888889,0.0,102.0,16.0,1.0,109.0,60.0,0.1724137931034483,1177.0,82.0,0.0
9063,17,2,108.18055555555556,0.0,103.83333333333331,14.0,0.0,108.0,60.0,0.1909722222222222,1163.0,86.0,11.76470588235294
9064,5,0,116.78472222222224,5.0,106.0,1.0,0.0,116.0,60.0,0.1406844106463878,1141.0,53.0,0.0
9065,19,0,76.59722222222223,1.0,69.0,19.0,0.0,76.0,60.0,0.0164609053497942,1104.0,24.0,0.0
