,patient_symptomatic,patient_asymptomatic,hcw_symptomatic,hcw_asymptomatic,patient_symptomatic_sum,patient_asymptomatic_sum,patient_nrow,hcw_symptomatic_sum,hcw_asymptomatic_sum,hcw_nrow,total_counts
0,0.4511784511784512,0.5909090909090909,0.7875,0.3181818181818182,134.0,26.0,341,189.0,28.0,328,377.0
1,0.6675392670157068,0.5,0.8349514563106796,0.38461538461538464,255.0,22.0,426,258.0,45.0,426,580.0
2,0.5906432748538012,0.5957446808510638,0.8245614035087719,0.34615384615384615,202.0,28.0,389,235.0,36.0,389,501.0
3,0.6457142857142857,0.42857142857142855,0.7664233576642335,0.391304347826087,226.0,18.0,392,210.0,45.0,389,499.0
4,0.6174863387978142,0.6346153846153846,0.8118466898954704,0.5,226.0,33.0,418,233.0,62.0,411,554.0
5,0.5614035087719298,0.525,0.8537549407114624,0.4166666666666667,192.0,21.0,382,216.0,45.0,361,474.0
6,0.6194225721784777,0.46551724137931033,0.9305555555555556,0.4225352112676056,236.0,27.0,439,268.0,60.0,430,591.0
7,0.6215384615384615,0.5813953488372093,0.8228346456692913,0.3360655737704918,202.0,25.0,368,209.0,41.0,376,477.0
8,0.6614173228346457,0.47058823529411764,0.8509933774834437,0.4444444444444444,252.0,24.0,432,257.0,60.0,437,593.0
9,0.4734982332155477,0.4,0.8391959798994975,0.35,134.0,16.0,323,167.0,35.0,299,352.0
10,0.6177285318559557,0.4897959183673469,0.8867924528301887,0.4166666666666667,223.0,24.0,410,235.0,50.0,385,532.0
11,0.5841269841269842,0.48717948717948717,0.6984126984126984,0.4,184.0,19.0,354,176.0,38.0,347,417.0
12,0.49337748344370863,0.2413793103448276,0.7884615384615384,0.3541666666666667,149.0,7.0,331,164.0,34.0,304,354.0
13,0.4868421052631579,0.5111111111111111,0.8755980861244019,0.3177570093457944,148.0,23.0,349,183.0,34.0,316,388.0
14,0.5266457680250783,0.44642857142857145,0.8443579766536965,0.34615384615384615,168.0,25.0,375,217.0,36.0,361,446.0
15,0.5750708215297451,0.4888888888888889,0.8844621513944223,0.45112781954887216,203.0,22.0,398,222.0,60.0,384,507.0
