,peak transmission
0,7.0
1,4.0
2,3.0
3,7.0
4,5.0
5,4.0
6,4.0
7,4.0
8,5.0
9,4.0
10,6.0
11,5.0
12,3.0
13,4.0
14,5.0
15,4.0
16,4.0
17,3.0
18,5.0
19,2.0
20,6.0
21,6.0
22,4.0
23,5.0
24,4.0
25,3.0
26,5.0
27,3.0
28,4.0
29,4.0
30,5.0
31,9.0
32,5.0
33,6.0
34,2.0
35,4.0
36,4.0
37,5.0
38,2.0
39,5.0
40,3.0
41,4.0
42,5.0
43,6.0
44,5.0
45,4.0
46,4.0
47,4.0
48,4.0
49,5.0
50,5.0
51,4.0
52,5.0
53,4.0
54,9.0
55,3.0
56,4.0
57,4.0
58,6.0
59,3.0
60,4.0
61,6.0
62,4.0
63,6.0
64,4.0
65,4.0
66,4.0
67,3.0
68,4.0
69,5.0
70,4.0
71,5.0
72,7.0
73,4.0
74,3.0
75,8.0
76,4.0
77,4.0
78,3.0
79,5.0
80,6.0
81,13.0
82,4.0
83,4.0
84,3.0
85,3.0
86,7.0
87,6.0
88,3.0
89,4.0
90,3.0
91,4.0
92,2.0
93,6.0
94,3.0
95,2.0
96,4.0
97,3.0
98,4.0
99,6.0
