,susceptible,exposed,mild,severe,recovered,asymptomatic
106,0.0,0.98,2.9,0.63,30.67,1.91
107,0.0,0.01,4.13,0.93,30.67,2.14
108,0.0,0.27,2.5,0.53,33.46,1.4
109,0.0,0.67,2.5,0.53,33.46,1.66
110,0.0,0.0,3.38,0.77,33.46,1.82
111,0.0,0.24,2.11,0.54,35.67,1.2
112,0.0,0.5,2.11,0.54,35.67,1.38
113,0.0,0.0,2.74,0.73,35.67,1.53
114,0.0,0.22,1.51,0.43,37.82,0.94
115,0.0,0.37,1.51,0.43,37.82,1.0
116,0.0,0.02,2.06,0.56,37.82,1.11
117,0.0,0.19,1.18,0.32,39.4,0.74
118,0.0,0.34,1.18,0.32,39.4,0.86
119,0.0,0.0,1.64,0.44,39.4,0.88
120,0.0,0.12,1.01,0.25,40.63,0.53
121,0.0,0.33,1.01,0.25,40.63,0.59
122,0.0,0.0,1.52,0.36,40.63,0.63
123,0.0,0.12,0.97,0.23,41.51,0.48
124,0.0,0.26,0.97,0.23,41.51,0.49
125,0.0,0.01,1.29,0.31,41.51,0.55
126,0.0,0.1,0.83,0.19,42.33,0.33
127,0.0,0.28,0.83,0.19,42.33,0.39
128,0.0,0.0,1.11,0.31,42.33,0.48
129,0.0,0.11,0.6,0.2,43.12,0.33
130,0.0,0.18,0.6,0.2,43.12,0.43
131,0.0,0.0,0.81,0.23,43.12,0.51
132,0.0,0.07,0.49,0.15,43.65,0.4
133,0.0,0.14,0.5,0.15,43.65,0.48
134,0.0,0.0,0.74,0.19,43.65,0.49
135,0.0,0.13,0.46,0.07,44.21,0.35
136,0.0,0.23,0.46,0.07,44.21,0.39
137,0.0,0.01,0.69,0.15,44.21,0.41
138,0.0,0.07,0.48,0.12,44.62,0.25
139,0.0,0.23,0.48,0.12,44.62,0.31
140,0.0,0.01,0.71,0.24,44.63,0.37
141,0.0,0.07,0.47,0.2,45.02,0.28
142,0.0,0.19,0.47,0.2,45.02,0.32
143,0.0,0.0,0.67,0.27,45.02,0.36
144,0.0,0.06,0.44,0.19,45.42,0.3
145,0.0,0.11,0.44,0.19,45.42,0.35
146,0.0,0.0,0.56,0.26,45.42,0.37
147,0.0,0.01,0.32,0.14,45.94,0.23
148,0.0,0.04,0.32,0.14,45.94,0.26
149,0.0,0.0,0.38,0.17,45.94,0.27
150,0.0,0.05,0.18,0.1,46.3,0.18
151,0.0,0.08,0.18,0.1,46.3,0.19
152,0.0,0.0,0.26,0.14,46.3,0.21
153,0.0,0.01,0.14,0.07,46.59,0.13
154,0.0,0.08,0.14,0.07,46.59,0.15
155,0.0,0.0,0.28,0.1,46.59,0.16
156,0.0,0.02,0.22,0.07,46.75,0.12
157,0.0,0.03,0.22,0.07,46.75,0.13
158,0.0,0.0,0.25,0.08,46.75,0.13
159,0.0,0.0,0.17,0.04,46.91,0.09
160,0.0,0.02,0.17,0.04,46.91,0.11
161,0.0,0.0,0.19,0.05,46.91,0.12
162,0.0,0.0,0.05,0.02,47.13,0.08
163,0.0,0.01,0.05,0.02,47.13,0.08
164,0.0,0.0,0.06,0.03,47.13,0.08
165,0.0,0.02,0.03,0.02,47.21,0.04
166,0.0,0.02,0.03,0.02,47.21,0.04
167,0.0,0.0,0.07,0.02,47.21,0.04
168,0.0,0.01,0.05,0.01,47.27,0.01
169,0.0,0.01,0.05,0.01,47.27,0.02
170,0.0,0.0,0.06,0.01,47.27,0.03
171,0.0,0.0,0.05,0.0,47.3,0.02
172,0.0,0.01,0.05,0.0,47.3,0.02
173,0.0,0.0,0.07,0.0,47.3,0.03
174,0.0,0.01,0.03,0.0,47.34,0.03
175,0.0,0.02,0.03,0.0,47.34,0.03
176,0.0,0.0,0.04,0.02,47.34,0.04
177,0.0,0.0,0.03,0.02,47.37,0.03
178,0.0,0.02,0.03,0.02,47.37,0.03
179,0.0,0.0,0.08,0.02,47.37,0.04
180,0.0,0.0,0.06,0.02,47.4,0.04
181,0.0,0.01,0.06,0.02,47.4,0.05
182,0.0,0.0,0.09,0.02,47.4,0.06
183,0.0,0.01,0.08,0.0,47.44,0.06
184,0.0,0.02,0.08,0.0,47.44,0.09
185,0.0,0.0,0.12,0.0,47.44,0.11
186,0.0,0.01,0.07,0.0,47.51,0.1
187,0.0,0.02,0.07,0.0,47.51,0.1
188,0.0,0.0,0.16,0.0,47.51,0.1
189,0.0,0.04,0.13,0.0,47.57,0.08
190,0.0,0.04,0.13,0.0,47.57,0.09
191,0.0,0.0,0.17,0.01,47.57,0.11
192,0.0,0.01,0.13,0.01,47.67,0.05
