,Total_transmission,P-N_count,P-HC_count,N-P_count,N-HC_count,N-N_count,HC-P_count,HC-N_count,HC-HC_count,HCW_community_trans_count,Total_trans_non_covid_wards,Total_trans_covid_wards,Asympt_patient_admission_count,Exposed_patient_admission_count,Total_patients_admitted,Num_susceptible_patients,num_replacement_hcw,trans_counts_from_pre_symptomatic,trans_counts_from_symptomatic,trans_counts_from_assymptomatic,Trans_count_patients,P-N,P-HC,N-P,N-HC,N-N,HC-P,HC-N,HC-HC
0,150.0,69.0,14.0,38.0,5.0,6.0,12.0,5.0,1.0,138.0,140.0,10.0,1.0,3.0,9978.0,9816.0,237.0,123.0,7.0,20.0,50.0,46.0,9.333333333333334,25.333333333333332,3.3333333333333335,4.0,8.0,3.3333333333333335,0.6666666666666666
1,70.0,19.0,10.0,24.0,3.0,3.0,4.0,7.0,0.0,137.0,60.0,10.0,1.0,0.0,9904.0,9745.0,179.0,48.0,7.0,15.0,28.0,27.142857142857142,14.285714285714286,34.285714285714285,4.285714285714286,4.285714285714286,5.714285714285714,10.0,0.0
2,103.0,43.0,12.0,18.0,7.0,5.0,10.0,6.0,2.0,125.0,95.0,8.0,0.0,2.0,9946.0,9786.0,200.0,89.0,5.0,9.0,28.0,41.74757281553398,11.650485436893204,17.475728155339805,6.796116504854369,4.854368932038835,9.70873786407767,5.825242718446602,1.941747572815534
3,167.0,59.0,19.0,49.0,5.0,9.0,17.0,6.0,3.0,135.0,160.0,7.0,0.0,4.0,9766.0,9604.0,234.0,144.0,4.0,19.0,66.0,35.32934131736527,11.377245508982035,29.34131736526946,2.9940119760479043,5.389221556886228,10.179640718562874,3.592814371257485,1.7964071856287425
4,120.0,46.0,19.0,35.0,2.0,9.0,6.0,2.0,1.0,126.0,113.0,7.0,1.0,2.0,9807.0,9646.0,205.0,105.0,3.0,12.0,41.0,38.333333333333336,15.833333333333334,29.166666666666668,1.6666666666666667,7.5,5.0,1.6666666666666667,0.8333333333333334
5,114.0,34.0,9.0,27.0,7.0,14.0,11.0,9.0,3.0,124.0,96.0,18.0,1.0,4.0,9946.0,9783.0,200.0,95.0,8.0,11.0,38.0,29.82456140350877,7.894736842105263,23.68421052631579,6.140350877192983,12.280701754385966,9.649122807017545,7.894736842105263,2.6315789473684212
6,134.0,48.0,20.0,36.0,1.0,10.0,14.0,5.0,0.0,125.0,128.0,6.0,0.0,2.0,9907.0,9747.0,208.0,122.0,2.0,10.0,50.0,35.82089552238806,14.925373134328359,26.865671641791046,0.746268656716418,7.462686567164179,10.447761194029852,3.7313432835820897,0.0
7,100.0,32.0,9.0,33.0,4.0,10.0,9.0,3.0,0.0,140.0,87.0,13.0,1.0,2.0,9867.0,9706.0,197.0,78.0,6.0,16.0,42.0,32.0,9.0,33.0,4.0,10.0,9.0,3.0,0.0
8,128.0,48.0,10.0,34.0,8.0,12.0,11.0,4.0,1.0,149.0,122.0,6.0,2.0,0.0,10026.0,9866.0,230.0,92.0,4.0,32.0,45.0,37.5,7.8125,26.5625,6.25,9.375,8.59375,3.125,0.78125
9,109.0,47.0,14.0,20.0,1.0,11.0,12.0,3.0,1.0,121.0,95.0,14.0,0.0,1.0,9826.0,9667.0,197.0,88.0,7.0,14.0,32.0,43.11926605504587,12.844036697247706,18.34862385321101,0.9174311926605505,10.091743119266056,11.009174311926605,2.7522935779816513,0.9174311926605505
