,patient_symptomatic,patient_asymptomatic,hcw_symptomatic,hcw_asymptomatic,patient_symptomatic_sum,patient_asymptomatic_sum,patient_nrow,hcw_symptomatic_sum,hcw_asymptomatic_sum,hcw_nrow,total_counts
0,0.36363636363636365,0.7857142857142857,0.3431952662721893,0.13043478260869565,72.0,11.0,212,58.0,9.0,238,150.0
1,0.14606741573033707,0.3333333333333333,0.2230769230769231,0.24489795918367346,26.0,3.0,187,29.0,12.0,179,70.0
2,0.2972972972972973,0.0,0.2765957446808511,0.15254237288135594,55.0,0.0,188,39.0,9.0,200,103.0
3,0.3317757009345794,0.5,0.4583333333333333,0.17647058823529413,71.0,7.0,228,77.0,12.0,236,167.0
4,0.31088082901554404,0.5555555555555556,0.3404255319148936,0.109375,60.0,5.0,202,48.0,7.0,205,120.0
5,0.20418848167539266,0.4,0.4507042253521127,0.1206896551724138,39.0,4.0,201,64.0,7.0,200,114.0
6,0.3088235294117647,0.8333333333333334,0.40939597315436244,0.08333333333333333,63.0,5.0,210,61.0,5.0,209,134.0
7,0.18181818181818182,1.0,0.35036496350364965,0.18032786885245902,36.0,5.0,203,48.0,11.0,198,100.0
8,0.22797927461139897,1.1666666666666667,0.3333333333333333,0.23684210526315788,44.0,14.0,205,52.0,18.0,232,128.0
9,0.3048128342245989,1.0,0.27941176470588236,0.16129032258064516,57.0,4.0,191,38.0,10.0,198,109.0
10,0.18181818181818182,0.25,0.2912621359223301,0.16363636363636364,34.0,1.0,191,30.0,9.0,158,74.0
11,0.28865979381443296,0.4444444444444444,0.3724137931034483,0.15873015873015872,56.0,4.0,203,54.0,10.0,208,124.0
12,0.25136612021857924,0.2857142857142857,0.3484848484848485,0.06896551724137931,46.0,2.0,190,46.0,4.0,190,98.0
13,0.27860696517412936,0.3333333333333333,0.3049645390070922,0.1875,56.0,1.0,204,43.0,12.0,205,112.0
14,0.31155778894472363,0.6666666666666666,0.3382352941176471,0.16455696202531644,62.0,6.0,208,46.0,13.0,215,127.0
15,0.26881720430107525,0.7142857142857143,0.2468354430379747,0.26153846153846155,50.0,5.0,193,39.0,17.0,223,111.0
16,0.1978021978021978,0.3333333333333333,0.2608695652173913,0.14035087719298245,36.0,3.0,191,36.0,8.0,195,83.0
17,0.11864406779661017,0.5714285714285714,0.24299065420560748,0.1875,21.0,4.0,184,26.0,9.0,155,60.0
18,0.27319587628865977,0.25,0.3511450381679389,0.09210526315789473,53.0,1.0,198,46.0,7.0,207,107.0
19,0.1912568306010929,0.8,0.275,0.15151515151515152,35.0,4.0,188,33.0,10.0,186,82.0
20,0.2676767676767677,0.25,0.3067484662576687,0.25,53.0,2.0,206,50.0,17.0,231,122.0
21,0.27638190954773867,0.375,0.34532374100719426,0.24242424242424243,55.0,3.0,207,48.0,16.0,205,122.0
22,0.2,0.14285714285714285,0.27205882352941174,0.125,37.0,1.0,192,37.0,8.0,200,83.0
23,0.3842364532019704,0.5454545454545454,0.3291139240506329,0.225,78.0,6.0,214,52.0,18.0,238,154.0
24,0.18333333333333332,0.6666666666666666,0.29508196721311475,0.10714285714285714,33.0,4.0,186,36.0,6.0,178,79.0
25,0.12,0.5714285714285714,0.28,0.125,21.0,4.0,182,28.0,6.0,148,59.0
26,0.29015544041450775,0.75,0.352,0.14814814814814814,56.0,6.0,201,44.0,12.0,206,118.0
27,0.24468085106382978,0.5,0.2846715328467153,0.04838709677419355,46.0,1.0,190,39.0,3.0,199,89.0
28,0.2978723404255319,0.3333333333333333,0.304,0.07407407407407407,56.0,1.0,191,38.0,4.0,179,99.0
29,0.17613636363636365,0.0,0.2672413793103448,0.05454545454545454,31.0,0.0,179,31.0,3.0,171,65.0
30,0.1875,0.5714285714285714,0.3023255813953488,0.10204081632653061,36.0,4.0,199,39.0,5.0,178,84.0
31,0.18579234972677597,0.7272727272727273,0.3235294117647059,0.2413793103448276,34.0,8.0,194,44.0,14.0,194,100.0
32,0.19473684210526315,0.7777777777777778,0.366412213740458,0.20689655172413793,37.0,7.0,199,48.0,12.0,189,104.0
33,0.25,0.6428571428571429,0.45323741007194246,0.15625,50.0,9.0,214,63.0,10.0,203,132.0
34,0.13966480446927373,0.25,0.32673267326732675,0.10638297872340426,25.0,1.0,183,33.0,5.0,148,64.0
35,0.1595744680851064,2.0,0.2923076923076923,0.18181818181818182,30.0,4.0,190,38.0,8.0,174,80.0
36,0.1388888888888889,0.3333333333333333,0.3191489361702128,0.11594202898550725,25.0,1.0,183,30.0,8.0,163,64.0
37,0.24598930481283424,1.0,0.2932330827067669,0.08771929824561403,46.0,4.0,191,39.0,5.0,190,94.0
38,0.15819209039548024,0.7142857142857143,0.2627118644067797,0.0,28.0,5.0,184,31.0,0.0,172,64.0
39,0.24064171122994651,0.375,0.28205128205128205,0.09302325581395349,45.0,3.0,195,44.0,4.0,199,96.0
40,0.1813186813186813,0.3333333333333333,0.26495726495726496,0.125,33.0,1.0,185,31.0,7.0,173,72.0
41,0.1837837837837838,0.6,0.33070866141732286,0.05357142857142857,34.0,6.0,195,42.0,3.0,183,85.0
42,0.20207253886010362,1.0,0.3697478991596639,0.1509433962264151,39.0,3.0,196,44.0,8.0,172,94.0
43,0.2513089005235602,0.8,0.36363636363636365,0.14545454545454545,48.0,4.0,196,48.0,8.0,187,108.0
44,0.19444444444444445,0.7692307692307693,0.3333333333333333,0.11267605633802817,35.0,10.0,193,44.0,8.0,203,97.0
45,0.17801047120418848,0.5,0.4,0.07407407407407407,34.0,6.0,203,54.0,4.0,189,98.0
46,0.32653061224489793,0.25,0.29333333333333333,0.13725490196078433,64.0,1.0,200,44.0,7.0,201,116.0
47,0.18181818181818182,0.5,0.26515151515151514,0.09615384615384616,32.0,2.0,180,35.0,5.0,184,74.0
48,0.23243243243243245,0.8333333333333334,0.27611940298507465,0.12121212121212122,43.0,5.0,191,37.0,8.0,200,93.0
49,0.2182741116751269,0.7142857142857143,0.33076923076923076,0.14516129032258066,43.0,5.0,204,43.0,9.0,192,100.0
50,0.2964824120603015,0.4444444444444444,0.3900709219858156,0.13725490196078433,59.0,4.0,208,55.0,7.0,192,125.0
51,0.2964824120603015,0.3,0.3493150684931507,0.19444444444444445,59.0,3.0,209,51.0,14.0,218,127.0
52,0.325,0.5,0.2848101265822785,0.19047619047619047,65.0,2.0,204,45.0,12.0,221,124.0
53,0.2879581151832461,0.7142857142857143,0.3288590604026846,0.09230769230769231,55.0,5.0,198,49.0,6.0,214,115.0
54,0.3054187192118227,1.1111111111111112,0.3958333333333333,0.19444444444444445,62.0,10.0,212,57.0,14.0,216,143.0
55,0.20555555555555555,0.2857142857142857,0.3333333333333333,0.07936507936507936,37.0,2.0,187,39.0,5.0,180,83.0
56,0.24193548387096775,1.0,0.2571428571428571,0.09836065573770492,45.0,5.0,191,36.0,6.0,201,92.0
57,0.20320855614973263,0.5,0.2982456140350877,0.16666666666666666,38.0,3.0,193,34.0,8.0,162,83.0
58,0.3283582089552239,0.4375,0.37254901960784315,0.22727272727272727,66.0,7.0,217,57.0,15.0,219,145.0
