,peak transmission
0,6.0
1,4.0
2,8.0
3,6.0
4,9.0
5,6.0
6,4.0
7,4.0
8,6.0
9,5.0
10,4.0
11,7.0
12,4.0
13,5.0
14,6.0
15,5.0
16,4.0
17,6.0
18,7.0
19,4.0
20,6.0
21,5.0
22,7.0
23,10.0
24,5.0
25,4.0
26,5.0
27,6.0
28,5.0
29,6.0
30,4.0
31,6.0
32,6.0
33,5.0
34,4.0
35,4.0
36,5.0
37,9.0
38,4.0
39,4.0
40,4.0
41,4.0
42,6.0
43,8.0
44,5.0
45,4.0
46,11.0
47,4.0
48,5.0
49,5.0
50,5.0
51,6.0
52,7.0
53,6.0
54,10.0
55,4.0
56,5.0
57,5.0
58,6.0
59,7.0
60,6.0
61,7.0
62,7.0
63,6.0
64,4.0
65,5.0
66,7.0
67,6.0
68,7.0
69,7.0
70,4.0
71,7.0
72,6.0
73,5.0
74,3.0
75,12.0
76,5.0
77,6.0
78,5.0
79,6.0
80,11.0
81,14.0
82,5.0
83,5.0
84,7.0
85,7.0
86,7.0
87,6.0
88,5.0
89,5.0
90,7.0
91,4.0
92,4.0
93,5.0
94,5.0
95,5.0
96,5.0
97,5.0
98,5.0
99,5.0
