,peak transmission
0,10.0
1,7.0
2,8.0
3,12.0
4,10.0
5,13.0
6,13.0
7,15.0
8,11.0
9,12.0
10,13.0
11,12.0
12,11.0
13,12.0
14,13.0
15,14.0
16,11.0
17,11.0
18,11.0
19,16.0
20,11.0
21,12.0
22,9.0
23,12.0
24,11.0
25,12.0
26,14.0
27,12.0
28,11.0
29,11.0
30,9.0
31,13.0
32,9.0
33,15.0
34,12.0
35,11.0
36,12.0
37,11.0
38,9.0
39,14.0
40,9.0
41,11.0
42,10.0
43,10.0
44,12.0
45,13.0
46,15.0
47,11.0
48,14.0
49,15.0
50,12.0
51,9.0
52,13.0
53,9.0
54,12.0
55,11.0
56,16.0
57,10.0
58,12.0
59,11.0
60,9.0
61,13.0
62,10.0
63,14.0
64,13.0
65,12.0
66,7.0
67,11.0
68,11.0
69,13.0
70,16.0
71,9.0
72,12.0
73,11.0
74,14.0
75,11.0
76,9.0
77,11.0
78,13.0
79,17.0
80,16.0
81,11.0
82,8.0
83,10.0
84,8.0
85,10.0
86,10.0
87,15.0
88,17.0
89,15.0
90,11.0
91,12.0
92,12.0
93,11.0
94,12.0
95,9.0
96,8.0
97,9.0
98,15.0
99,11.0
