,Daily_infected_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,2.0
67,2.0
68,2.0
69,2.0
70,2.0
71,4.0
72,5.0
73,7.0
74,11.0
75,15.0
76,18.0
77,18.0
78,22.0
79,30.0
80,34.0
81,38.0
82,41.0
83,40.0
84,44.0
85,52.0
86,53.0
87,56.0
88,56.0
89,63.0
90,53.0
91,57.0
92,69.0
93,74.0
94,78.0
95,81.0
96,84.0
97,68.0
98,78.0
99,87.0
100,92.0
101,94.0
102,97.0
103,100.0
104,75.0
105,72.0
106,72.0
107,71.0
108,69.0
109,62.0
110,58.0
111,32.0
112,37.0
113,33.0
114,30.0
115,29.0
116,29.0
117,27.0
118,16.0
119,16.0
120,16.0
121,12.0
122,12.0
123,9.0
124,9.0
125,5.0
126,4.0
127,4.0
128,4.0
129,5.0
130,6.0
131,5.0
132,4.0
133,4.0
134,5.0
135,5.0
136,7.0
137,8.0
138,10.0
139,11.0
140,9.0
141,9.0
142,10.0
143,8.0
144,8.0
145,9.0
146,9.0
147,10.0
148,10.0
149,9.0
150,9.0
151,12.0
152,12.0
153,9.0
154,10.0
155,10.0
156,10.0
157,9.0
158,10.0
159,10.0
160,6.0
161,8.0
162,8.0
163,8.0
164,8.0
165,6.0
166,6.0
167,6.0
168,5.0
169,5.0
170,4.0
171,3.0
172,1.0
173,1.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,1.0
180,1.0
181,1.0
182,1.0
183,1.0
184,1.0
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,1.0
192,1.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,2.0
217,3.0
218,4.0
219,4.0
220,4.0
221,4.0
222,5.0
223,7.0
224,7.0
225,7.0
226,7.0
227,7.0
228,7.0
229,7.0
230,3.0
231,3.0
232,3.0
233,2.0
234,2.0
235,2.0
236,2.0
237,0.0
238,0.0
