,Daily_infected_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,3.0
71,5.0
72,6.0
73,6.0
74,8.0
75,8.0
76,9.0
77,10.0
78,17.0
79,22.0
80,26.0
81,28.0
82,31.0
83,36.0
84,39.0
85,47.0
86,53.0
87,63.0
88,71.0
89,74.0
90,76.0
91,82.0
92,88.0
93,88.0
94,93.0
95,91.0
96,82.0
97,83.0
98,84.0
99,79.0
100,74.0
101,71.0
102,62.0
103,62.0
104,59.0
105,50.0
106,45.0
107,37.0
108,33.0
109,37.0
110,40.0
111,39.0
112,36.0
113,36.0
114,36.0
115,42.0
116,46.0
117,46.0
118,43.0
119,42.0
120,47.0
121,50.0
122,47.0
123,46.0
124,43.0
125,40.0
126,39.0
127,36.0
128,33.0
129,29.0
130,26.0
131,24.0
132,22.0
133,19.0
134,13.0
135,10.0
136,10.0
137,4.0
138,5.0
139,5.0
140,6.0
141,6.0
142,8.0
143,9.0
144,10.0
145,12.0
146,13.0
147,15.0
148,14.0
149,14.0
150,15.0
151,16.0
152,16.0
153,17.0
154,19.0
155,16.0
156,14.0
157,13.0
158,12.0
159,11.0
160,10.0
161,9.0
162,8.0
163,6.0
164,5.0
165,4.0
166,4.0
167,2.0
168,1.0
169,1.0
170,1.0
171,1.0
172,1.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,1.0
190,1.0
191,1.0
192,1.0
193,1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,1.0
213,1.0
214,1.0
215,2.0
216,2.0
217,3.0
218,3.0
219,3.0
220,4.0
221,4.0
222,4.0
223,4.0
224,3.0
225,3.0
226,2.0
227,2.0
228,2.0
229,2.0
230,1.0
231,1.0
232,1.0
233,1.0
234,2.0
235,3.0
236,3.0
237,4.0
238,4.0
