,peak transmission
0,7.0
1,6.0
2,10.0
3,4.0
4,7.0
5,8.0
6,9.0
7,6.0
8,8.0
9,10.0
10,7.0
11,7.0
12,7.0
13,6.0
14,8.0
15,10.0
16,8.0
17,6.0
18,6.0
19,9.0
20,5.0
21,10.0
22,5.0
23,12.0
24,7.0
25,6.0
26,7.0
27,7.0
28,7.0
29,6.0
30,7.0
31,9.0
32,5.0
33,5.0
34,6.0
35,5.0
36,7.0
37,5.0
38,7.0
39,6.0
40,7.0
41,10.0
42,5.0
43,5.0
44,3.0
45,5.0
46,6.0
47,5.0
48,6.0
49,6.0
50,6.0
51,7.0
52,6.0
53,8.0
54,6.0
55,4.0
56,8.0
57,7.0
58,7.0
59,7.0
60,7.0
61,8.0
62,7.0
63,11.0
64,6.0
65,6.0
66,5.0
67,6.0
68,6.0
69,9.0
70,5.0
71,5.0
72,8.0
73,5.0
74,6.0
75,8.0
76,6.0
77,7.0
78,6.0
79,6.0
80,6.0
81,7.0
82,7.0
83,5.0
84,4.0
85,5.0
86,6.0
87,5.0
88,7.0
89,8.0
90,8.0
91,8.0
92,6.0
93,6.0
94,6.0
95,7.0
96,4.0
97,5.0
98,6.0
99,7.0
