,peak transmission
0,15.0
1,11.0
2,18.0
3,20.0
4,9.0
5,19.0
6,10.0
7,13.0
8,13.0
9,13.0
10,13.0
11,11.0
12,16.0
13,14.0
14,16.0
15,23.0
16,10.0
17,14.0
18,9.0
19,14.0
20,12.0
21,18.0
22,13.0
23,15.0
24,10.0
25,13.0
26,10.0
27,16.0
28,12.0
29,13.0
30,14.0
31,16.0
32,16.0
33,13.0
34,11.0
35,21.0
36,10.0
37,19.0
38,14.0
39,13.0
40,15.0
41,18.0
42,12.0
43,11.0
44,12.0
45,15.0
46,14.0
47,13.0
48,16.0
49,12.0
50,13.0
51,17.0
52,16.0
53,12.0
54,16.0
55,20.0
56,16.0
57,13.0
58,17.0
59,29.0
60,14.0
61,18.0
62,17.0
63,12.0
64,15.0
65,13.0
66,16.0
67,17.0
68,12.0
69,24.0
70,17.0
71,17.0
72,17.0
73,16.0
74,12.0
75,14.0
76,10.0
77,12.0
78,15.0
79,13.0
80,11.0
81,14.0
82,11.0
83,10.0
84,15.0
85,15.0
86,13.0
87,13.0
88,15.0
89,11.0
90,19.0
91,26.0
92,12.0
93,16.0
94,14.0
95,15.0
96,10.0
97,19.0
98,14.0
99,14.0
