,Daily_infected_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,1.0
74,4.0
75,5.0
76,6.0
77,10.0
78,13.0
79,16.0
80,19.0
81,20.0
82,25.0
83,32.0
84,32.0
85,37.0
86,45.0
87,51.0
88,57.0
89,64.0
90,67.0
91,75.0
92,85.0
93,88.0
94,95.0
95,99.0
96,101.0
97,79.0
98,83.0
99,87.0
100,89.0
101,92.0
102,84.0
103,90.0
104,66.0
105,67.0
106,66.0
107,65.0
108,62.0
109,61.0
110,59.0
111,32.0
112,32.0
113,32.0
114,30.0
115,30.0
116,26.0
117,23.0
118,15.0
119,17.0
120,18.0
121,18.0
122,19.0
123,19.0
124,19.0
125,16.0
126,16.0
127,16.0
128,16.0
129,16.0
130,15.0
131,15.0
132,5.0
133,7.0
134,7.0
135,6.0
136,6.0
137,9.0
138,10.0
139,9.0
140,10.0
141,13.0
142,15.0
143,20.0
144,26.0
145,28.0
146,24.0
147,28.0
148,29.0
149,28.0
150,26.0
151,24.0
152,26.0
153,20.0
154,21.0
155,20.0
156,17.0
157,15.0
158,12.0
159,10.0
160,8.0
161,7.0
162,7.0
163,6.0
164,5.0
165,5.0
166,2.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,1.0
206,2.0
207,3.0
208,4.0
209,5.0
210,5.0
211,5.0
212,6.0
213,8.0
214,8.0
215,7.0
216,6.0
217,6.0
218,6.0
219,6.0
220,6.0
221,5.0
222,5.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
