,Total_transmission,P-N_count,P-HC_count,N-P_count,N-HC_count,N-N_count,HC-P_count,HC-N_count,HC-HC_count,HCW_community_trans_count,Total_trans_non_covid_wards,Total_trans_covid_wards,Asympt_patient_admission_count,Exposed_patient_admission_count,Total_patients_admitted,Num_susceptible_patients,num_replacement_hcw,trans_counts_from_pre_symptomatic,trans_counts_from_symptomatic,trans_counts_from_assymptomatic,Trans_count_patients,P-N,P-HC,N-P,N-HC,N-N,HC-P,HC-N,HC-HC
0,37.0,4.0,0.0,7.0,4.0,12.0,4.0,5.0,1.0,144.0,29.0,8.0,2.0,0.0,9866.0,9706.0,120.0,30.0,4.0,3.0,11.0,10.81081081081081,0.0,18.91891891891892,10.81081081081081,32.432432432432435,10.81081081081081,13.513513513513514,2.7027027027027026
1,32.0,7.0,4.0,5.0,6.0,8.0,0.0,1.0,1.0,139.0,18.0,14.0,0.0,4.0,9839.0,9677.0,108.0,18.0,10.0,4.0,5.0,21.875,12.5,15.625,18.75,25.0,0.0,3.125,3.125
2,39.0,6.0,3.0,6.0,3.0,14.0,4.0,3.0,0.0,132.0,30.0,9.0,0.0,2.0,9829.0,9669.0,113.0,29.0,3.0,7.0,10.0,15.384615384615385,7.6923076923076925,15.384615384615385,7.6923076923076925,35.8974358974359,10.256410256410257,7.6923076923076925,0.0
3,43.0,4.0,5.0,12.0,4.0,9.0,5.0,4.0,0.0,118.0,36.0,7.0,1.0,1.0,9839.0,9679.0,104.0,32.0,6.0,5.0,17.0,9.30232558139535,11.627906976744185,27.906976744186046,9.30232558139535,20.930232558139537,11.627906976744185,9.30232558139535,0.0
4,43.0,1.0,2.0,11.0,6.0,15.0,2.0,6.0,0.0,137.0,32.0,11.0,2.0,0.0,9979.0,9819.0,127.0,38.0,3.0,2.0,13.0,2.3255813953488373,4.651162790697675,25.58139534883721,13.953488372093023,34.883720930232556,4.651162790697675,13.953488372093023,0.0
5,37.0,8.0,0.0,7.0,5.0,9.0,3.0,4.0,1.0,117.0,27.0,10.0,0.0,0.0,9984.0,9826.0,96.0,25.0,5.0,7.0,10.0,21.62162162162162,0.0,18.91891891891892,13.513513513513514,24.324324324324323,8.108108108108109,10.81081081081081,2.7027027027027026
6,42.0,4.0,1.0,7.0,6.0,14.0,4.0,6.0,0.0,146.0,33.0,9.0,1.0,3.0,10109.0,9947.0,120.0,33.0,4.0,5.0,11.0,9.523809523809524,2.380952380952381,16.666666666666668,14.285714285714286,33.333333333333336,9.523809523809524,14.285714285714286,0.0
7,34.0,2.0,6.0,7.0,2.0,12.0,2.0,2.0,1.0,128.0,21.0,13.0,1.0,4.0,9753.0,9590.0,102.0,23.0,6.0,5.0,9.0,5.882352941176471,17.647058823529413,20.58823529411765,5.882352941176471,35.294117647058826,5.882352941176471,5.882352941176471,2.9411764705882355
8,30.0,2.0,2.0,5.0,5.0,10.0,3.0,2.0,1.0,139.0,23.0,7.0,0.0,1.0,9997.0,9838.0,111.0,23.0,4.0,3.0,8.0,6.666666666666667,6.666666666666667,16.666666666666668,16.666666666666668,33.333333333333336,10.0,6.666666666666667,3.3333333333333335
9,37.0,4.0,3.0,7.0,6.0,7.0,3.0,7.0,0.0,126.0,24.0,13.0,0.0,7.0,9931.0,9766.0,97.0,28.0,5.0,4.0,10.0,10.81081081081081,8.108108108108109,18.91891891891892,16.216216216216218,18.91891891891892,8.108108108108109,18.91891891891892,0.0
