,mean,ci_lower,ci_upper
210,0.18,0.0,2.0
211,0.12,0.0,1.0
212,0.11,0.0,1.4749999999999943
213,0.13,0.0,1.4749999999999943
214,0.09,0.0,1.0
215,0.18,0.0,2.0
216,0.22,0.0,2.0
217,0.11,0.0,1.0
218,0.13,0.0,1.0
219,0.12,0.0,1.0
220,0.08,0.0,1.4749999999999943
221,0.07,0.0,1.0
222,0.11,0.0,1.0
223,0.1,0.0,1.0
224,0.11,0.0,1.0
225,0.05,0.0,0.5012499999999946
226,0.11,0.0,1.0
227,0.15,0.0,1.4749999999999943
228,0.12,0.0,1.4749999999999943
229,0.15,0.0,1.0
230,0.12,0.0,1.4749999999999943
231,0.1,0.0,1.0
232,0.14,0.0,2.0
233,0.09,0.0,1.0
234,0.17,0.0,1.4749999999999943
235,0.2,0.0,2.0
236,0.18,0.0,2.0
237,0.22,0.0,2.0
238,0.14,0.0,2.0
