,day,total_screened,positive_detected,prevalence,positivity_rate
0,60.0,870.0,0.0,0.0038022813688212,0.0
1,63.0,870.0,0.0,0.0037735849056603,0.0
2,66.0,870.0,3.0,0.0078125,0.3448275862068966
3,69.0,870.0,5.0,0.0042194092827004,0.5747126436781609
4,72.0,870.0,5.0,0.0137614678899082,0.5747126436781609
5,75.0,870.0,7.0,0.0178571428571428,0.8045977011494253
6,78.0,870.0,9.0,0.0421940928270042,1.0344827586206897
7,81.0,870.0,13.0,0.073170731707317,1.4942528735632183
8,84.0,870.0,10.0,0.1239669421487603,1.1494252873563218
9,87.0,870.0,15.0,0.1697416974169741,1.7241379310344827
10,90.0,870.0,19.0,0.2259136212624584,2.1839080459770113
11,93.0,870.0,31.0,0.2564935064935065,3.5632183908045976
12,96.0,870.0,20.0,0.2516129032258064,2.2988505747126435
13,99.0,870.0,20.0,0.2541806020066889,2.2988505747126435
14,102.0,870.0,14.0,0.2075471698113207,1.6091954022988506
15,105.0,870.0,15.0,0.2133757961783439,1.7241379310344827
16,108.0,870.0,19.0,0.2052980132450331,2.1839080459770113
17,111.0,870.0,8.0,0.1778523489932885,0.9195402298850575
18,114.0,870.0,8.0,0.1459074733096085,0.9195402298850575
19,117.0,870.0,1.0,0.1254901960784313,0.11494252873563218
20,120.0,870.0,1.0,0.1042471042471042,0.11494252873563218
21,123.0,870.0,0.0,0.0823970037453183,0.0
22,126.0,870.0,0.0,0.0557620817843866,0.0
23,129.0,870.0,0.0,0.0489795918367346,0.0
24,132.0,870.0,1.0,0.0364372469635627,0.11494252873563218
25,135.0,870.0,2.0,0.0274509803921568,0.22988505747126436
26,138.0,870.0,4.0,0.0364372469635627,0.45977011494252873
27,141.0,870.0,3.0,0.0384615384615384,0.3448275862068966
28,144.0,870.0,4.0,0.036144578313253,0.45977011494252873
29,147.0,870.0,4.0,0.0336134453781512,0.45977011494252873
30,150.0,870.0,3.0,0.0252100840336134,0.3448275862068966
31,153.0,870.0,1.0,0.0133928571428571,0.11494252873563218
32,156.0,870.0,0.0,0.008130081300813,0.0
33,159.0,870.0,0.0,0.0045454545454545,0.0
34,162.0,870.0,0.0,0.0045454545454545,0.0
35,165.0,870.0,0.0,0.0047393364928909,0.0
36,168.0,870.0,0.0,0.0,0.0
37,171.0,870.0,0.0,0.0,0.0
38,174.0,870.0,0.0,0.0,0.0
39,177.0,870.0,0.0,0.0,0.0
40,180.0,870.0,0.0,0.0,0.0
41,183.0,870.0,0.0,0.0,0.0
42,186.0,870.0,0.0,0.0,0.0
43,189.0,870.0,0.0,0.0,0.0
44,192.0,870.0,0.0,0.0,0.0
45,195.0,870.0,0.0,0.0,0.0
46,198.0,870.0,1.0,0.0,0.11494252873563218
47,201.0,870.0,0.0,0.0,0.0
48,204.0,870.0,0.0,0.0045871559633027,0.0
49,207.0,870.0,0.0,0.0052356020942408,0.0
50,210.0,870.0,0.0,0.0049019607843137,0.0
51,213.0,870.0,0.0,0.0,0.0
52,216.0,870.0,0.0,0.0044247787610619,0.0
53,219.0,870.0,0.0,0.0043859649122807,0.0
54,222.0,870.0,0.0,0.0043859649122807,0.0
55,225.0,870.0,0.0,0.0040816326530612,0.0
56,228.0,870.0,1.0,0.0,0.11494252873563218
57,231.0,870.0,0.0,0.0,0.0
58,234.0,870.0,0.0,0.0,0.0
59,237.0,870.0,0.0,0.0,0.0
60,60.0,870.0,0.0,0.0046948356807511,0.0
61,63.0,870.0,1.0,0.0085106382978723,0.11494252873563218
62,66.0,870.0,4.0,0.009009009009009,0.45977011494252873
63,69.0,870.0,4.0,0.0093457943925233,0.45977011494252873
64,72.0,870.0,6.0,0.0041666666666666,0.6896551724137931
65,75.0,870.0,3.0,0.0120481927710843,0.3448275862068966
66,78.0,870.0,13.0,0.0334572490706319,1.4942528735632183
67,81.0,870.0,13.0,0.0561797752808988,1.4942528735632183
68,84.0,870.0,6.0,0.0970149253731343,0.6896551724137931
69,87.0,870.0,19.0,0.1551724137931034,2.1839080459770113
70,90.0,870.0,13.0,0.1685393258426966,1.4942528735632183
71,93.0,870.0,15.0,0.1938202247191011,1.7241379310344827
72,96.0,870.0,14.0,0.2163009404388714,1.6091954022988506
73,99.0,870.0,12.0,0.2105263157894736,1.3793103448275863
74,102.0,870.0,12.0,0.1918238993710692,1.3793103448275863
75,105.0,870.0,13.0,0.1886792452830188,1.4942528735632183
76,108.0,870.0,14.0,0.1766561514195583,1.6091954022988506
77,111.0,870.0,7.0,0.1742160278745644,0.8045977011494253
78,114.0,870.0,13.0,0.1541353383458646,1.4942528735632183
79,117.0,870.0,4.0,0.1187739463601532,0.45977011494252873
80,120.0,870.0,8.0,0.1026615969581749,0.9195402298850575
81,123.0,870.0,4.0,0.0735294117647058,0.45977011494252873
82,126.0,870.0,1.0,0.0608365019011406,0.11494252873563218
83,129.0,870.0,1.0,0.046692607003891,0.11494252873563218
84,132.0,870.0,0.0,0.0418250950570342,0.0
85,135.0,870.0,1.0,0.0306513409961685,0.11494252873563218
86,138.0,870.0,0.0,0.029090909090909,0.0
87,141.0,870.0,0.0,0.0234375,0.0
88,144.0,870.0,0.0,0.0166666666666666,0.0
89,147.0,870.0,0.0,0.0126582278481012,0.0
90,150.0,870.0,0.0,0.0174672489082969,0.0
91,153.0,870.0,0.0,0.0133928571428571,0.0
92,156.0,870.0,0.0,0.0144230769230769,0.0
93,159.0,870.0,1.0,0.0095238095238095,0.11494252873563218
94,162.0,870.0,0.0,0.0041152263374485,0.0
95,165.0,870.0,0.0,0.0040650406504065,0.0
96,168.0,870.0,0.0,0.0,0.0
97,171.0,870.0,0.0,0.0,0.0
98,174.0,870.0,0.0,0.0,0.0
99,177.0,870.0,0.0,0.0,0.0
100,180.0,870.0,0.0,0.0,0.0
101,183.0,870.0,0.0,0.0,0.0
102,186.0,870.0,1.0,0.0,0.11494252873563218
103,189.0,870.0,0.0,0.0,0.0
104,192.0,870.0,0.0,0.0,0.0
105,195.0,870.0,0.0,0.0,0.0
106,198.0,870.0,0.0,0.0,0.0
107,201.0,870.0,0.0,0.0,0.0
108,204.0,870.0,0.0,0.0046728971962616,0.0
109,207.0,870.0,0.0,0.0042553191489361,0.0
110,210.0,870.0,2.0,0.0130434782608695,0.22988505747126436
111,213.0,870.0,6.0,0.0088888888888888,0.6896551724137931
112,216.0,870.0,1.0,0.0136363636363636,0.11494252873563218
113,219.0,870.0,0.0,0.0086580086580086,0.0
114,222.0,870.0,1.0,0.0091743119266055,0.11494252873563218
115,225.0,870.0,1.0,0.0040322580645161,0.11494252873563218
116,228.0,870.0,1.0,0.0,0.11494252873563218
117,231.0,870.0,0.0,0.0,0.0
118,234.0,870.0,2.0,0.0,0.22988505747126436
119,237.0,870.0,0.0,0.0,0.0
120,60.0,870.0,0.0,0.0043478260869565,0.0
121,63.0,870.0,0.0,0.0040160642570281,0.0
122,66.0,870.0,3.0,0.0041322314049586,0.3448275862068966
123,69.0,870.0,2.0,0.0045662100456621,0.22988505747126436
124,72.0,870.0,6.0,0.017391304347826,0.6896551724137931
125,75.0,870.0,13.0,0.0226244343891402,1.4942528735632183
126,78.0,870.0,11.0,0.0445344129554655,1.264367816091954
127,81.0,870.0,14.0,0.0705882352941176,1.6091954022988506
128,84.0,870.0,14.0,0.1405622489959839,1.6091954022988506
129,87.0,870.0,20.0,0.1969696969696969,2.2988505747126435
130,90.0,870.0,19.0,0.2222222222222222,2.1839080459770113
131,93.0,870.0,9.0,0.2374581939799331,1.0344827586206897
132,96.0,870.0,9.0,0.2360655737704918,1.0344827586206897
133,99.0,870.0,14.0,0.2052117263843648,1.6091954022988506
134,102.0,870.0,14.0,0.1954397394136807,1.6091954022988506
