,peak transmission
0,12.0
1,5.0
2,4.0
3,4.0
4,5.0
5,7.0
6,6.0
7,4.0
8,6.0
9,9.0
10,5.0
11,6.0
12,6.0
13,4.0
14,9.0
15,5.0
16,4.0
17,6.0
18,5.0
19,5.0
20,5.0
21,5.0
22,4.0
23,6.0
24,7.0
25,6.0
26,4.0
27,8.0
28,9.0
29,5.0
30,5.0
31,6.0
32,4.0
33,6.0
34,4.0
35,3.0
36,6.0
37,4.0
38,5.0
39,4.0
40,9.0
41,5.0
42,10.0
43,5.0
44,4.0
45,7.0
46,6.0
47,4.0
48,7.0
49,6.0
50,9.0
51,9.0
52,8.0
53,3.0
54,6.0
55,7.0
56,4.0
57,8.0
58,3.0
59,6.0
60,4.0
61,4.0
62,7.0
63,5.0
64,9.0
65,5.0
66,3.0
67,5.0
68,9.0
69,7.0
70,3.0
71,4.0
72,3.0
73,5.0
74,5.0
75,4.0
76,5.0
77,9.0
78,6.0
79,6.0
80,11.0
81,10.0
82,4.0
83,4.0
84,5.0
85,2.0
86,5.0
87,4.0
88,5.0
89,6.0
90,3.0
91,5.0
92,4.0
93,5.0
94,6.0
95,5.0
96,5.0
97,4.0
98,7.0
99,8.0
