,peak transmission
0,9.0
1,6.0
2,5.0
3,4.0
4,6.0
5,5.0
6,6.0
7,5.0
8,8.0
9,8.0
10,4.0
11,6.0
12,6.0
13,3.0
14,6.0
15,5.0
16,8.0
17,7.0
18,9.0
19,8.0
20,7.0
21,6.0
22,5.0
23,7.0
24,7.0
25,5.0
26,8.0
27,8.0
28,10.0
29,5.0
30,6.0
31,9.0
32,5.0
33,7.0
34,4.0
35,4.0
36,8.0
37,4.0
38,5.0
39,4.0
40,8.0
41,5.0
42,11.0
43,8.0
44,7.0
45,5.0
46,6.0
47,6.0
48,9.0
49,8.0
50,6.0
51,13.0
52,5.0
53,5.0
54,8.0
55,8.0
56,7.0
57,10.0
58,9.0
59,7.0
60,4.0
61,4.0
62,5.0
63,10.0
64,11.0
65,6.0
66,5.0
67,7.0
68,12.0
69,12.0
70,3.0
71,6.0
72,7.0
73,8.0
74,7.0
75,5.0
76,8.0
77,7.0
78,5.0
79,5.0
80,6.0
81,10.0
82,5.0
83,8.0
84,8.0
85,3.0
86,7.0
87,6.0
88,4.0
89,5.0
90,4.0
91,4.0
92,5.0
93,6.0
94,7.0
95,5.0
96,6.0
97,8.0
98,7.0
99,6.0
