,Daily_infected_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,1.0
66,1.0
67,1.0
68,1.0
69,5.0
70,5.0
71,6.0
72,6.0
73,10.0
74,14.0
75,15.0
76,18.0
77,26.0
78,31.0
79,40.0
80,45.0
81,52.0
82,54.0
83,51.0
84,58.0
85,62.0
86,64.0
87,63.0
88,65.0
89,70.0
90,54.0
91,55.0
92,60.0
93,69.0
94,74.0
95,83.0
96,87.0
97,75.0
98,80.0
99,84.0
100,86.0
101,98.0
102,100.0
103,99.0
104,71.0
105,75.0
106,77.0
107,74.0
108,74.0
109,69.0
110,62.0
111,31.0
112,32.0
113,34.0
114,34.0
115,30.0
116,29.0
117,28.0
118,21.0
119,21.0
120,19.0
121,20.0
122,20.0
123,19.0
124,19.0
125,10.0
126,9.0
127,8.0
128,6.0
129,5.0
130,7.0
131,6.0
132,2.0
133,3.0
134,4.0
135,4.0
136,6.0
137,6.0
138,6.0
139,4.0
140,5.0
141,7.0
142,7.0
143,8.0
144,9.0
145,10.0
146,10.0
147,12.0
148,15.0
149,16.0
150,16.0
151,14.0
152,14.0
153,12.0
154,13.0
155,12.0
156,12.0
157,11.0
158,12.0
159,11.0
160,3.0
161,3.0
162,4.0
163,5.0
164,5.0
165,5.0
166,5.0
167,2.0
168,2.0
169,2.0
170,2.0
171,2.0
172,1.0
173,1.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,1.0
223,1.0
224,2.0
225,3.0
226,3.0
227,3.0
228,3.0
229,3.0
230,2.0
231,2.0
232,2.0
233,2.0
234,2.0
235,1.0
236,1.0
237,0.0
238,0.0
