,occupied_bed
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,6.0
78,8.0
79,14.0
80,17.0
81,21.0
82,22.0
83,29.0
84,33.0
85,39.0
86,43.0
87,49.0
88,57.0
89,70.0
90,70.0
91,80.0
92,88.0
93,91.0
94,96.0
95,97.0
96,91.0
97,88.0
98,86.0
99,84.0
100,84.0
101,84.0
102,79.0
103,71.0
104,72.0
105,71.0
106,70.0
107,70.0
108,69.0
109,65.0
110,62.0
111,61.0
112,60.0
113,51.0
114,47.0
115,45.0
116,44.0
117,39.0
118,40.0
119,40.0
120,39.0
121,37.0
122,37.0
123,36.0
124,33.0
125,32.0
126,31.0
127,27.0
128,25.0
129,24.0
130,22.0
131,20.0
132,20.0
133,20.0
134,19.0
135,19.0
136,20.0
137,20.0
138,22.0
139,21.0
140,20.0
141,21.0
142,16.0
143,15.0
144,18.0
145,18.0
146,17.0
147,17.0
148,18.0
149,18.0
150,17.0
151,16.0
152,16.0
153,16.0
154,14.0
155,15.0
156,14.0
157,14.0
158,13.0
159,12.0
160,11.0
161,10.0
162,11.0
163,11.0
164,11.0
165,11.0
166,10.0
167,10.0
168,8.0
169,8.0
170,8.0
171,8.0
172,9.0
173,9.0
174,9.0
175,9.0
176,8.0
177,8.0
178,8.0
179,9.0
180,8.0
181,8.0
182,8.0
183,9.0
184,9.0
185,8.0
186,7.0
187,6.0
188,6.0
189,6.0
190,6.0
191,7.0
192,7.0
193,7.0
194,7.0
195,6.0
196,6.0
197,6.0
198,6.0
199,6.0
200,6.0
201,6.0
202,6.0
203,6.0
204,7.0
205,7.0
206,7.0
207,7.0
208,7.0
209,7.0
210,7.0
211,7.0
212,7.0
213,7.0
214,6.0
215,5.0
216,6.0
217,6.0
218,5.0
219,5.0
220,5.0
221,5.0
222,5.0
223,5.0
224,5.0
225,5.0
226,5.0
227,4.0
228,4.0
229,4.0
230,4.0
231,4.0
232,3.0
233,3.0
234,3.0
235,3.0
236,3.0
237,3.0
238,4.0
