,peak transmission
0,9.0
1,10.0
2,8.0
3,7.0
4,13.0
5,12.0
6,6.0
7,9.0
8,8.0
9,7.0
10,8.0
11,8.0
12,9.0
13,5.0
14,9.0
15,9.0
16,6.0
17,8.0
18,7.0
19,7.0
20,5.0
21,9.0
22,9.0
23,11.0
24,9.0
25,8.0
26,8.0
27,9.0
28,8.0
29,9.0
30,8.0
31,6.0
32,5.0
33,7.0
34,10.0
35,10.0
36,6.0
37,6.0
38,6.0
39,10.0
40,11.0
41,11.0
42,8.0
43,14.0
44,10.0
45,8.0
46,9.0
47,9.0
48,7.0
49,7.0
50,6.0
51,9.0
52,8.0
53,8.0
54,8.0
55,13.0
56,5.0
57,7.0
58,7.0
59,11.0
60,8.0
61,8.0
62,11.0
63,8.0
64,13.0
65,7.0
66,5.0
67,9.0
68,6.0
69,6.0
70,10.0
71,6.0
72,8.0
73,13.0
74,8.0
75,6.0
76,11.0
77,9.0
78,7.0
79,9.0
80,7.0
81,9.0
82,8.0
83,9.0
84,6.0
85,8.0
86,9.0
87,9.0
88,9.0
89,7.0
90,7.0
91,8.0
92,10.0
93,6.0
94,11.0
95,11.0
96,8.0
97,7.0
98,6.0
99,5.0
