,peak transmission
0,10.0
1,11.0
2,13.0
3,9.0
4,17.0
5,14.0
6,19.0
7,17.0
8,15.0
9,14.0
10,13.0
11,18.0
12,15.0
13,13.0
14,10.0
15,21.0
16,14.0
17,11.0
18,11.0
19,11.0
20,12.0
21,14.0
22,12.0
23,13.0
24,14.0
25,9.0
26,16.0
27,10.0
28,11.0
29,14.0
30,12.0
31,14.0
32,10.0
33,12.0
34,16.0
35,17.0
36,14.0
37,11.0
38,17.0
39,12.0
40,21.0
41,17.0
42,18.0
43,12.0
44,10.0
45,14.0
46,14.0
47,13.0
48,19.0
49,11.0
50,13.0
51,10.0
52,15.0
53,10.0
54,16.0
55,12.0
56,13.0
57,12.0
58,9.0
59,22.0
60,12.0
61,8.0
62,11.0
63,14.0
64,10.0
65,12.0
66,11.0
67,16.0
68,18.0
69,12.0
70,16.0
71,15.0
72,16.0
73,12.0
74,13.0
75,12.0
76,15.0
77,16.0
78,13.0
79,13.0
80,10.0
81,11.0
82,16.0
83,13.0
84,12.0
85,15.0
86,14.0
87,13.0
88,8.0
89,17.0
90,14.0
91,19.0
92,15.0
93,16.0
94,13.0
95,18.0
96,12.0
97,14.0
98,13.0
99,13.0
