,Daily_infected_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,1.0
71,2.0
72,2.0
73,2.0
74,3.0
75,4.0
76,5.0
77,7.0
78,11.0
79,22.0
80,26.0
81,30.0
82,35.0
83,44.0
84,51.0
85,56.0
86,68.0
87,77.0
88,82.0
89,87.0
90,90.0
91,102.0
92,104.0
93,111.0
94,113.0
95,117.0
96,112.0
97,115.0
98,118.0
99,120.0
100,122.0
101,115.0
102,109.0
103,97.0
104,87.0
105,83.0
106,75.0
107,75.0
108,66.0
109,58.0
110,53.0
111,46.0
112,42.0
113,39.0
114,36.0
115,29.0
116,27.0
117,28.0
118,29.0
119,29.0
120,28.0
121,24.0
122,26.0
123,26.0
124,23.0
125,20.0
126,19.0
127,20.0
128,18.0
129,16.0
130,12.0
131,13.0
132,12.0
133,11.0
134,10.0
135,8.0
136,7.0
137,8.0
138,9.0
139,11.0
140,9.0
141,9.0
142,8.0
143,7.0
144,6.0
145,7.0
146,8.0
147,9.0
148,12.0
149,13.0
150,12.0
151,11.0
152,13.0
153,13.0
154,14.0
155,14.0
156,14.0
157,14.0
158,13.0
159,12.0
160,11.0
161,11.0
162,11.0
163,9.0
164,8.0
165,8.0
166,8.0
167,10.0
168,10.0
169,11.0
170,10.0
171,10.0
172,10.0
173,10.0
174,9.0
175,7.0
176,7.0
177,5.0
178,5.0
179,4.0
180,3.0
181,1.0
182,1.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,1.0
231,1.0
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
238,1.0
