,day,total_screened,positive_detected,prevalence,positivity_rate
0,63.0,870.0,0.0,0.0082987551867219,0.0
1,70.0,870.0,5.0,0.0316742081447963,0.5747126436781609
2,77.0,875.0,11.0,0.0482456140350877,1.2571428571428571
3,84.0,878.0,15.0,0.152,1.7084282460136675
4,91.0,878.0,37.0,0.2264150943396226,4.214123006833713
5,98.0,894.0,28.0,0.2468354430379747,3.131991051454139
6,105.0,882.0,37.0,0.2290322580645161,4.195011337868481
7,112.0,889.0,36.0,0.2068965517241379,4.049493813273341
8,119.0,890.0,20.0,0.2165354330708661,2.247191011235955
9,126.0,880.0,20.0,0.146067415730337,2.272727272727273
10,133.0,883.0,17.0,0.105726872246696,1.9252548131370328
11,140.0,882.0,23.0,0.0748031496062992,2.6077097505668934
12,147.0,883.0,10.0,0.0539419087136929,1.1325028312570782
13,154.0,874.0,10.0,0.0378787878787878,1.1441647597254003
14,161.0,878.0,6.0,0.0413223140495867,0.683371298405467
15,168.0,875.0,2.0,0.0233463035019455,0.2285714285714286
16,175.0,870.0,2.0,0.0173160173160173,0.22988505747126436
17,182.0,871.0,2.0,0.0040485829959514,0.2296211251435132
18,189.0,872.0,0.0,0.0,0.0
19,196.0,870.0,0.0,0.0,0.0
20,203.0,870.0,0.0,0.0,0.0
21,210.0,870.0,0.0,0.0042553191489361,0.0
22,217.0,870.0,0.0,0.0042735042735042,0.0
23,224.0,870.0,0.0,0.00418410041841,0.0
24,231.0,870.0,0.0,0.0,0.0
25,238.0,870.0,1.0,0.0,0.11494252873563218
26,63.0,870.0,0.0,0.0048780487804878,0.0
27,70.0,870.0,3.0,0.0172413793103448,0.3448275862068966
28,77.0,873.0,9.0,0.0245901639344262,1.0309278350515463
29,84.0,875.0,30.0,0.1933085501858736,3.428571428571429
30,91.0,894.0,59.0,0.2786885245901639,6.599552572706935
31,98.0,905.0,62.0,0.3074324324324324,6.850828729281767
32,105.0,905.0,38.0,0.2492307692307692,4.198895027624309
33,112.0,886.0,21.0,0.2070175438596491,2.3702031602708806
34,119.0,885.0,8.0,0.1219512195121951,0.903954802259887
35,126.0,871.0,2.0,0.0703125,0.2296211251435132
36,133.0,870.0,1.0,0.0408163265306122,0.11494252873563218
37,140.0,871.0,4.0,0.0358565737051792,0.4592422502870264
38,147.0,872.0,1.0,0.0222222222222222,0.11467889908256881
39,154.0,871.0,0.0,0.0077519379844961,0.0
40,161.0,870.0,0.0,0.0040160642570281,0.0
41,168.0,870.0,0.0,0.0,0.0
42,175.0,870.0,0.0,0.0,0.0
43,182.0,870.0,0.0,0.0,0.0
44,189.0,870.0,1.0,0.0039215686274509,0.11494252873563218
45,196.0,871.0,1.0,0.0,0.1148105625717566
46,203.0,870.0,0.0,0.0,0.0
47,210.0,870.0,1.0,0.0038610038610038,0.11494252873563218
48,217.0,870.0,2.0,0.0040816326530612,0.22988505747126436
49,224.0,871.0,1.0,0.0040160642570281,0.1148105625717566
50,231.0,870.0,0.0,0.0,0.0
51,238.0,870.0,1.0,0.0,0.11494252873563218
52,63.0,870.0,0.0,0.0046082949308755,0.0
