,day,total_screened,positive_detected,prevalence,positivity_rate
0,63.0,870.0,0.0,0.0043859649122807,0.0
1,70.0,870.0,2.0,0.0042735042735042,0.22988505747126436
2,77.0,872.0,6.0,0.0433070866141732,0.6880733944954129
3,84.0,873.0,24.0,0.2129277566539923,2.7491408934707904
4,91.0,891.0,57.0,0.2797427652733119,6.397306397306397
5,98.0,912.0,56.0,0.3253424657534247,6.140350877192982
6,105.0,900.0,35.0,0.2969924812030075,3.888888888888889
7,112.0,885.0,24.0,0.1944444444444444,2.711864406779661
8,119.0,884.0,18.0,0.1566265060240964,2.0361990950226243
9,126.0,880.0,9.0,0.0854092526690391,1.0227272727272727
10,133.0,872.0,4.0,0.0416666666666666,0.45871559633027525
11,140.0,872.0,2.0,0.05,0.22935779816513763
12,147.0,870.0,4.0,0.0463320463320463,0.45977011494252873
13,154.0,874.0,5.0,0.0358565737051792,0.5720823798627002
14,161.0,872.0,1.0,0.0168067226890756,0.11467889908256881
15,168.0,871.0,0.0,0.0121457489878542,0.0
16,175.0,870.0,0.0,0.0041322314049586,0.0
17,182.0,870.0,1.0,0.0,0.11494252873563218
18,189.0,870.0,0.0,0.0,0.0
19,196.0,870.0,0.0,0.0,0.0
20,203.0,870.0,0.0,0.0,0.0
21,210.0,870.0,0.0,0.0040983606557377,0.0
22,217.0,870.0,2.0,0.0042553191489361,0.22988505747126436
23,224.0,872.0,0.0,0.0040485829959514,0.0
24,231.0,870.0,0.0,0.0,0.0
25,238.0,870.0,0.0,0.0,0.0
26,63.0,870.0,1.0,0.0037878787878787,0.11494252873563218
27,70.0,871.0,1.0,0.0165975103734439,0.1148105625717566
28,77.0,871.0,6.0,0.0995670995670995,0.6888633754305395
29,84.0,875.0,30.0,0.2058823529411764,3.428571428571429
30,91.0,896.0,27.0,0.2619808306709265,3.013392857142857
31,98.0,882.0,30.0,0.2679738562091503,3.4013605442176873
32,105.0,886.0,30.0,0.2432432432432432,3.3860045146726865
33,112.0,889.0,24.0,0.2053231939163498,2.699662542182227
34,119.0,887.0,16.0,0.1518518518518518,1.8038331454340473
35,126.0,875.0,6.0,0.0748031496062992,0.6857142857142857
36,133.0,873.0,5.0,0.0647773279352226,0.572737686139748
37,140.0,874.0,4.0,0.0461538461538461,0.4576659038901602
38,147.0,874.0,5.0,0.0197628458498023,0.5720823798627002
39,154.0,872.0,0.0,0.0088105726872246,0.0
40,161.0,870.0,1.0,0.0135746606334841,0.11494252873563218
41,168.0,871.0,3.0,0.0088105726872246,0.3444316877152698
42,175.0,870.0,0.0,0.0042016806722689,0.0
43,182.0,870.0,0.0,0.0040816326530612,0.0
44,189.0,870.0,0.0,0.0,0.0
45,196.0,870.0,0.0,0.0,0.0
46,203.0,870.0,0.0,0.0,0.0
47,210.0,870.0,1.0,0.008695652173913,0.11494252873563218
48,217.0,871.0,6.0,0.0048076923076923,0.6888633754305395
49,224.0,875.0,4.0,0.0181818181818181,0.4571428571428572
50,231.0,871.0,1.0,0.00390625,0.1148105625717566
51,238.0,870.0,2.0,0.0,0.22988505747126436
52,63.0,870.0,0.0,0.0038167938931297,0.0
53,70.0,870.0,3.0,0.0209205020920502,0.3448275862068966
54,77.0,873.0,14.0,0.0833333333333333,1.6036655211912942
55,84.0,883.0,45.0,0.1902985074626865,5.096262740656852
56,91.0,906.0,40.0,0.3378839590443686,4.415011037527594
57,98.0,891.0,36.0,0.2754098360655738,4.040404040404041
58,105.0,891.0,18.0,0.2065573770491803,2.0202020202020203
59,112.0,879.0,12.0,0.1540983606557377,1.3651877133105803
60,119.0,877.0,4.0,0.0954063604240282,0.45610034207525657
61,126.0,871.0,4.0,0.0566801619433198,0.4592422502870264
62,133.0,872.0,0.0,0.0394736842105263,0.0
63,140.0,870.0,0.0,0.028,0.0
64,147.0,870.0,1.0,0.0119047619047619,0.11494252873563218
65,154.0,870.0,0.0,0.0174672489082969,0.0
