,peak transmission
0,14.0
1,8.0
2,11.0
3,14.0
4,8.0
5,18.0
6,10.0
7,11.0
8,8.0
9,14.0
10,8.0
11,11.0
12,10.0
13,10.0
14,17.0
15,10.0
16,18.0
17,9.0
18,11.0
19,9.0
20,12.0
21,11.0
22,9.0
23,13.0
24,15.0
25,15.0
26,13.0
27,9.0
28,11.0
29,11.0
30,15.0
31,9.0
32,15.0
33,8.0
34,12.0
35,9.0
36,13.0
37,13.0
38,10.0
39,9.0
40,10.0
41,13.0
42,15.0
43,10.0
44,10.0
45,10.0
46,13.0
47,19.0
48,9.0
49,11.0
50,12.0
51,13.0
52,8.0
53,10.0
54,14.0
55,14.0
56,11.0
57,17.0
58,13.0
59,10.0
60,11.0
61,11.0
62,9.0
63,10.0
64,15.0
65,15.0
66,8.0
67,11.0
68,13.0
69,13.0
70,8.0
71,11.0
72,11.0
73,9.0
74,17.0
75,8.0
76,12.0
77,10.0
78,11.0
79,15.0
80,9.0
81,12.0
82,6.0
83,11.0
84,13.0
85,12.0
86,10.0
87,9.0
88,12.0
89,11.0
90,11.0
91,11.0
92,8.0
93,9.0
94,15.0
95,13.0
96,14.0
97,8.0
98,12.0
99,10.0
