,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,2
68,2
69,2
70,3
71,5
72,6
73,9
74,11
75,14
76,15
77,16
78,17
79,20
80,22
81,24
82,25
83,29
84,36
85,46
86,49
87,59
88,64
89,69
90,78
91,86
92,93
93,99
94,103
95,111
96,112
97,116
98,125
99,127
100,130
101,132
102,138
103,140
104,142
105,143
106,144
107,149
108,153
109,157
110,159
111,160
112,162
113,163
114,167
115,170
116,172
117,176
118,177
119,179
120,181
121,181
122,181
123,181
124,181
125,183
126,183
127,184
128,184
129,184
130,184
131,184
132,184
133,184
134,186
135,186
136,187
137,188
138,188
139,188
140,188
141,188
142,188
143,190
144,190
145,192
146,192
147,192
148,192
149,194
150,194
151,196
152,196
153,196
154,197
155,197
156,197
157,197
158,197
159,197
160,197
161,197
162,197
163,197
164,197
165,197
166,197
167,197
168,197
169,197
170,197
171,197
172,197
173,197
174,197
175,197
176,197
177,197
178,197
179,197
180,197
181,197
182,197
183,197
184,197
185,197
186,197
187,197
188,197
189,197
190,197
191,197
192,197
193,197
194,197
195,197
196,197
197,197
198,197
199,197
200,197
201,197
202,197
203,197
204,197
205,197
206,197
207,197
208,197
209,197
210,197
211,197
212,197
213,197
214,197
215,197
216,197
217,197
218,197
219,197
220,197
221,197
222,197
223,197
224,197
225,197
226,197
227,197
228,197
229,197
230,197
231,197
232,197
233,197
234,197
235,197
236,197
237,197
238,197
