,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,1
74,2
75,2
76,3
77,6
78,7
79,10
80,13
81,14
82,17
83,18
84,21
85,22
86,25
87,30
88,34
89,39
90,42
91,47
92,52
93,54
94,57
95,63
96,69
97,71
98,74
99,75
100,77
101,82
102,88
103,99
104,99
105,105
106,110
107,112
108,122
109,124
110,127
111,128
112,129
113,136
114,141
115,143
116,149
117,153
118,156
119,162
120,164
121,167
122,170
123,172
124,173
125,175
126,176
127,180
128,181
129,181
130,183
131,186
132,186
133,186
134,187
135,188
136,188
137,188
138,188
139,188
140,188
141,189
142,189
143,189
144,189
145,189
146,189
147,189
148,191
149,191
150,191
151,191
152,191
153,191
154,191
155,191
156,192
157,195
158,195
159,196
160,196
161,196
162,196
163,196
164,197
165,197
166,197
167,197
168,197
169,197
170,197
171,197
172,197
173,197
174,197
175,197
176,197
177,197
178,197
179,197
180,198
181,198
182,199
183,200
184,202
185,203
186,204
187,204
188,204
189,206
190,206
191,209
192,209
193,209
194,209
195,209
196,209
197,210
198,211
199,211
200,211
201,211
202,211
203,211
204,211
205,211
206,211
207,211
208,211
209,211
210,211
211,211
212,211
213,211
214,211
215,211
216,211
217,211
218,211
219,211
220,211
221,211
222,211
223,211
224,211
225,211
226,211
227,211
228,211
229,211
230,211
231,211
232,211
233,211
234,211
235,211
236,211
237,211
238,211
