,Daily_infected_hcw
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,2.0
72,4.0
73,6.0
74,7.0
75,8.0
76,9.0
77,10.0
78,15.0
79,17.0
80,22.0
81,24.0
82,30.0
83,33.0
84,35.0
85,36.0
86,38.0
87,39.0
88,43.0
89,43.0
90,43.0
91,43.0
92,39.0
93,37.0
94,35.0
95,32.0
96,30.0
97,32.0
98,27.0
99,29.0
100,31.0
101,28.0
102,24.0
103,22.0
104,21.0
105,20.0
106,19.0
107,20.0
108,20.0
109,16.0
110,14.0
111,13.0
112,9.0
113,8.0
114,8.0
115,7.0
116,6.0
117,6.0
118,5.0
119,5.0
120,4.0
121,3.0
122,3.0
123,2.0
124,2.0
125,2.0
126,6.0
127,7.0
128,7.0
129,7.0
130,7.0
131,7.0
132,7.0
133,7.0
134,8.0
135,8.0
136,8.0
137,8.0
138,7.0
139,6.0
140,3.0
141,2.0
142,1.0
143,1.0
144,2.0
145,1.0
146,1.0
147,2.0
148,5.0
149,6.0
150,6.0
151,6.0
152,6.0
153,7.0
154,10.0
155,12.0
156,11.0
157,11.0
158,13.0
159,13.0
160,15.0
161,16.0
162,16.0
163,16.0
164,16.0
165,14.0
166,13.0
167,12.0
168,12.0
169,6.0
170,5.0
171,3.0
172,2.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,1.0
189,1.0
190,3.0
191,3.0
192,4.0
193,4.0
194,5.0
195,7.0
196,7.0
197,7.0
198,7.0
199,7.0
200,7.0
201,7.0
202,6.0
203,6.0
204,5.0
205,5.0
206,3.0
207,1.0
208,1.0
209,2.0
210,1.0
211,1.0
212,1.0
213,1.0
214,1.0
215,1.0
216,1.0
217,1.0
218,1.0
219,1.0
220,1.0
221,1.0
222,1.0
223,0.0
224,0.0
225,0.0
226,1.0
227,1.0
228,1.0
229,1.0
230,1.0
231,2.0
232,2.0
233,2.0
234,2.0
235,1.0
236,1.0
237,1.0
238,1.0
