,peak transmission
0,29.0
1,22.0
2,22.0
3,24.0
4,16.0
5,16.0
6,20.0
7,20.0
8,24.0
9,22.0
10,13.0
11,18.0
12,17.0
13,17.0
14,17.0
15,20.0
16,13.0
17,21.0
18,15.0
19,22.0
20,18.0
21,19.0
22,17.0
23,19.0
24,21.0
25,17.0
26,21.0
27,18.0
28,25.0
29,22.0
30,19.0
31,21.0
32,22.0
33,13.0
34,18.0
35,22.0
36,19.0
37,26.0
38,20.0
39,15.0
40,15.0
41,21.0
42,18.0
43,22.0
44,18.0
45,21.0
46,19.0
47,22.0
48,17.0
49,25.0
50,19.0
51,18.0
52,21.0
53,20.0
54,13.0
55,22.0
56,20.0
57,23.0
58,12.0
59,26.0
60,18.0
61,21.0
62,17.0
63,21.0
64,19.0
65,13.0
66,22.0
67,15.0
68,18.0
69,14.0
70,28.0
71,16.0
72,20.0
73,18.0
74,14.0
75,15.0
76,13.0
77,14.0
78,14.0
79,16.0
80,30.0
81,28.0
82,18.0
83,16.0
84,19.0
85,10.0
86,23.0
87,24.0
88,20.0
89,29.0
90,14.0
91,19.0
92,15.0
93,16.0
94,17.0
95,19.0
96,16.0
97,10.0
98,16.0
99,17.0
