,trans_prev,ci_lower,ci_upper
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,4.4052863436123e-05,0.0,0.0
62,0.00012578974466376797,0.0,0.0019516728624534958
63,0.000378963083173008,0.0,0.004323908174692014
64,0.0009157797465046949,0.0,0.008851688693098304
65,0.0017767383689640704,0.0,0.013025123365292544
66,0.0024719724269344763,0.0,0.014514682519345979
67,0.003991653405799118,0.0,0.019246913580246855
68,0.005072395013894665,0.0,0.021191309812370916
69,0.007229132416094909,0.0,0.02744015957446801
70,0.008303175613262555,0.0,0.029059696609673304
71,0.011576613386748758,0.0,0.03743516373318575
72,0.01507213796954926,0.0,0.04220374590514168
73,0.017437932226571987,0.0,0.04894354707130032
74,0.020859839335886404,0.0,0.05557643047379936
75,0.024369953664468928,0.0,0.05773815597047914
76,0.027909515051254132,0.0,0.0631541668170498
77,0.03157229045492085,0.004089578454332538,0.07414068853347788
78,0.03661084344652271,0.0061023692928128485,0.07974554515252186
79,0.040523367622660775,0.0040300546448087055,0.08282608695652165
80,0.045353932580924725,0.006153654010847793,0.08449078631334404
81,0.05051785775505764,0.013658498759305126,0.11004704301075263
82,0.05403995233379521,0.018551305246833766,0.10936812179016862
83,0.05870713959638347,0.020429061545542,0.10829693734497998
84,0.0640484529090953,0.02365508545811144,0.12583253588516738
85,0.07067574619150663,0.02267157563625959,0.1318938771785746
86,0.07656728468720876,0.022016402714932055,0.1429444565533274
87,0.08041864917630198,0.026912150349650294,0.14193749417575238
88,0.08553681556714471,0.03642269332259933,0.1374650566386309
89,0.08552562257533519,0.039269176308504745,0.13704448518407658
90,0.08725850393490217,0.045155460770007795,0.13562129070202633
91,0.08909259880581236,0.04347997477136547,0.13920556000246284
92,0.09009272429032347,0.04273263993568482,0.13301394749179551
93,0.09077373459362165,0.04299370838678148,0.14498090084354603
94,0.08962091463116197,0.0476658271634907,0.14598076923076914
95,0.08886093736442705,0.04300548589341693,0.1484094726536184
96,0.09095908586348347,0.04133920505871718,0.13980020491803266
97,0.09159290863374954,0.03799226441631503,0.15232995278894898
98,0.09388683168606365,0.03839702629638726,0.15954316686024
99,0.09017270715719677,0.0424407303273282,0.1556922122648495
100,0.0893677605366924,0.04381463424929298,0.16010424496784423
101,0.0873133920470896,0.0433121443812233,0.15998719399606864
102,0.08844324082389005,0.040949119373776884,0.15412809755494164
103,0.0862616620352801,0.04377400768245833,0.14934085349279685
104,0.0840753198981228,0.03866379310344826,0.1495189467465608
105,0.08111430397868763,0.039792079207920786,0.14074223510424555
106,0.07902605415166249,0.037303722932759215,0.13688973063973056
107,0.07788859158631861,0.03720757314612402,0.12893023739652218
108,0.07759372664781568,0.035812404385517534,0.13057046979865763
109,0.07588847846061897,0.029694461085997444,0.13451571637426896
110,0.07537450218487309,0.031079095666174648,0.13968797564687974
111,0.07133939184020786,0.026228213742211483,0.12260680379746829
112,0.06922289206466002,0.02574041811846689,0.1213948354638328
113,0.06875819895126573,0.025266525909707006,0.12530471577602717
114,0.06679989656989858,0.02271389817858214,0.11687033327262782
115,0.06378266129636315,0.02285135841170321,0.11981099656357379
116,0.06256540377485258,0.025673864432350826,0.11450188307030125
117,0.05930310289414031,0.025966853047977082,0.10583670115912414
118,0.056459798247593646,0.02305216902408706,0.09730160174736074
119,0.051840079798799676,0.024185365853658526,0.09101903251387776
120,0.04924982049226398,0.02101752289924332,0.09446089181286539
121,0.04672572659978203,0.0204213447973621,0.08821842344388894
122,0.04483980950117071,0.01900830687127966,0.08674573863636348
123,0.04262060134965376,0.01592900685801366,0.07919776119402971
124,0.040121364367145744,0.011572896051267503,0.07829186295815517
125,0.03733022247298386,0.00812698622881354,0.07471799955937429
126,0.03557670026379644,0.007900207900207873,0.07118301314459045
127,0.0347425514439131,0.0062016246805403075,0.07289474729026875
128,0.03252987374940584,0.00433751414560536,0.07633241758241745
129,0.03140326189584263,0.004272175058548,0.07223915549791027
130,0.029739428829407725,0.00414791052241249,0.07405913978494615
131,0.027578313856375925,0.004226190476190462,0.06934758155230589
132,0.025820939995560833,0.00401355603969976,0.0627683061449772
133,0.024938526354609594,0.0042799860529985825,0.06483411626541394
