,peak transmission
0,11.0
1,13.0
2,10.0
3,14.0
4,11.0
5,15.0
6,9.0
7,10.0
8,15.0
9,12.0
10,12.0
11,9.0
12,10.0
13,8.0
14,11.0
15,17.0
16,13.0
17,12.0
18,8.0
19,13.0
20,12.0
21,10.0
22,12.0
23,13.0
24,12.0
25,18.0
26,12.0
27,7.0
28,14.0
29,12.0
30,9.0
31,15.0
32,14.0
33,13.0
34,14.0
35,11.0
36,7.0
37,10.0
38,18.0
39,10.0
40,12.0
41,15.0
42,13.0
43,10.0
44,13.0
45,9.0
46,13.0
47,10.0
48,15.0
49,10.0
50,10.0
51,10.0
52,16.0
53,19.0
54,13.0
55,12.0
56,10.0
57,7.0
58,11.0
59,12.0
60,17.0
61,12.0
62,10.0
63,15.0
64,15.0
65,10.0
66,12.0
67,12.0
68,12.0
69,12.0
70,17.0
71,11.0
72,13.0
73,7.0
74,11.0
75,12.0
76,14.0
77,14.0
78,11.0
79,13.0
80,10.0
81,9.0
82,9.0
83,11.0
84,13.0
85,9.0
86,12.0
87,12.0
88,12.0
89,10.0
90,15.0
91,13.0
92,12.0
93,11.0
94,12.0
95,13.0
96,12.0
97,17.0
98,19.0
99,12.0
