,peak transmission
0,8.0
1,7.0
2,4.0
3,5.0
4,8.0
5,7.0
6,7.0
7,9.0
8,3.0
9,8.0
10,6.0
11,9.0
12,7.0
13,3.0
14,5.0
15,5.0
16,3.0
17,3.0
18,6.0
19,7.0
20,5.0
21,5.0
22,4.0
23,4.0
24,6.0
25,3.0
26,4.0
27,8.0
28,6.0
29,7.0
30,7.0
31,4.0
32,4.0
33,4.0
34,7.0
35,8.0
36,6.0
37,7.0
38,5.0
39,5.0
40,5.0
41,7.0
42,7.0
43,7.0
44,6.0
45,5.0
46,7.0
47,5.0
48,9.0
49,4.0
50,7.0
51,5.0
52,5.0
53,9.0
54,9.0
55,4.0
56,5.0
57,5.0
58,5.0
59,6.0
60,4.0
61,9.0
62,7.0
63,8.0
64,7.0
65,10.0
66,6.0
67,6.0
68,7.0
69,6.0
70,6.0
71,5.0
72,5.0
73,6.0
74,4.0
75,7.0
76,6.0
77,6.0
78,5.0
79,9.0
80,6.0
81,3.0
82,5.0
83,5.0
84,7.0
85,6.0
86,4.0
87,5.0
88,6.0
89,6.0
90,8.0
91,10.0
92,8.0
93,6.0
94,8.0
95,6.0
96,4.0
97,6.0
98,7.0
99,6.0
