,peak transmission
0,6.0
1,7.0
2,4.0
3,8.0
4,5.0
5,5.0
6,6.0
7,12.0
8,4.0
9,6.0
10,5.0
11,6.0
12,6.0
13,4.0
14,5.0
15,5.0
16,3.0
17,4.0
18,6.0
19,4.0
20,7.0
21,7.0
22,6.0
23,4.0
24,4.0
25,5.0
26,4.0
27,7.0
28,5.0
29,7.0
30,6.0
31,4.0
32,5.0
33,2.0
34,7.0
35,6.0
36,7.0
37,6.0
38,5.0
39,4.0
40,4.0
41,4.0
42,4.0
43,5.0
44,8.0
45,6.0
46,6.0
47,4.0
48,9.0
49,5.0
50,7.0
51,6.0
52,4.0
53,6.0
54,8.0
55,6.0
56,6.0
57,5.0
58,5.0
59,5.0
60,5.0
61,8.0
62,8.0
63,4.0
64,5.0
65,10.0
66,5.0
67,6.0
68,5.0
69,5.0
70,6.0
71,7.0
72,5.0
73,6.0
74,5.0
75,9.0
76,4.0
77,4.0
78,5.0
79,10.0
80,6.0
81,5.0
82,5.0
83,5.0
84,6.0
85,5.0
86,5.0
87,4.0
88,6.0
89,4.0
90,6.0
91,11.0
92,10.0
93,6.0
94,5.0
95,5.0
96,5.0
97,7.0
98,7.0
99,5.0
