,peak transmission
0,18.0
1,14.0
2,14.0
3,15.0
4,14.0
5,14.0
6,15.0
7,15.0
8,17.0
9,14.0
10,11.0
11,11.0
12,11.0
13,11.0
14,12.0
15,13.0
16,13.0
17,11.0
18,16.0
19,12.0
20,13.0
21,11.0
22,12.0
23,17.0
24,17.0
25,11.0
26,20.0
27,14.0
28,12.0
29,14.0
30,13.0
31,16.0
32,12.0
33,18.0
34,16.0
35,21.0
36,14.0
37,12.0
38,16.0
39,12.0
40,13.0
41,11.0
42,11.0
43,17.0
44,15.0
45,15.0
46,16.0
47,18.0
48,10.0
49,11.0
50,13.0
51,15.0
52,11.0
53,18.0
54,15.0
55,11.0
56,14.0
57,17.0
58,14.0
59,16.0
60,9.0
61,16.0
62,16.0
63,17.0
64,14.0
65,12.0
66,13.0
67,15.0
68,17.0
69,12.0
70,16.0
71,18.0
72,9.0
73,16.0
74,11.0
75,13.0
76,15.0
77,11.0
78,11.0
79,19.0
80,12.0
81,14.0
82,12.0
83,12.0
84,16.0
85,21.0
86,18.0
87,16.0
88,13.0
89,13.0
90,14.0
91,12.0
92,12.0
93,10.0
94,14.0
95,15.0
96,16.0
97,14.0
98,13.0
99,19.0
