,peak transmission
0,18.0
1,16.0
2,9.0
3,11.0
4,15.0
5,12.0
6,14.0
7,12.0
8,20.0
9,10.0
10,11.0
11,13.0
12,9.0
13,11.0
14,10.0
15,12.0
16,11.0
17,12.0
18,17.0
19,12.0
20,11.0
21,11.0
22,12.0
23,12.0
24,12.0
25,12.0
26,17.0
27,11.0
28,9.0
29,12.0
30,12.0
31,14.0
32,14.0
33,14.0
34,13.0
35,18.0
36,12.0
37,11.0
38,15.0
39,11.0
40,12.0
41,11.0
42,10.0
43,15.0
44,10.0
45,15.0
46,13.0
47,15.0
48,12.0
49,9.0
50,11.0
51,13.0
52,9.0
53,15.0
54,12.0
55,9.0
56,12.0
57,16.0
58,10.0
59,14.0
60,9.0
61,10.0
62,12.0
63,14.0
64,14.0
65,9.0
66,8.0
67,13.0
68,14.0
69,11.0
70,22.0
71,15.0
72,9.0
73,14.0
74,9.0
75,10.0
76,13.0
77,12.0
78,12.0
79,15.0
80,11.0
81,14.0
82,10.0
83,12.0
84,12.0
85,14.0
86,12.0
87,11.0
88,13.0
89,11.0
90,13.0
91,9.0
92,10.0
93,12.0
94,11.0
95,16.0
96,12.0
97,10.0
98,11.0
99,18.0
