,peak transmission
0,3.0
1,4.0
2,6.0
3,5.0
4,6.0
5,6.0
6,4.0
7,6.0
8,4.0
9,4.0
10,4.0
11,5.0
12,6.0
13,4.0
14,4.0
15,5.0
16,8.0
17,4.0
18,6.0
19,6.0
20,6.0
21,5.0
22,6.0
23,6.0
24,7.0
25,4.0
26,4.0
27,4.0
28,5.0
29,6.0
30,6.0
31,5.0
32,6.0
33,5.0
34,7.0
35,4.0
36,7.0
37,7.0
38,4.0
39,6.0
40,7.0
41,6.0
42,6.0
43,3.0
44,5.0
45,5.0
46,6.0
47,5.0
48,7.0
49,3.0
50,6.0
51,5.0
52,4.0
53,6.0
54,3.0
55,6.0
56,9.0
57,6.0
58,7.0
59,4.0
60,8.0
61,7.0
62,5.0
63,7.0
64,4.0
65,6.0
66,5.0
67,5.0
68,5.0
69,5.0
70,5.0
71,5.0
72,6.0
73,5.0
74,8.0
75,3.0
76,6.0
77,5.0
78,6.0
79,4.0
80,5.0
81,5.0
82,7.0
83,7.0
84,6.0
85,7.0
86,4.0
87,5.0
88,6.0
89,4.0
90,6.0
91,10.0
92,8.0
93,7.0
94,4.0
95,6.0
96,5.0
97,6.0
98,7.0
99,6.0
