,Total_transmission,P-N_count,P-HC_count,N-P_count,N-HC_count,N-N_count,HC-P_count,HC-N_count,HC-HC_count,HCW_community_trans_count,Total_trans_non_covid_wards,Total_trans_covid_wards,Asympt_patient_admission_count,Exposed_patient_admission_count,Total_patients_admitted,Num_susceptible_patients,num_replacement_hcw,trans_counts_from_pre_symptomatic,trans_counts_from_symptomatic,trans_counts_from_assymptomatic,Trans_count_patients,P-N,P-HC,N-P,N-HC,N-N,HC-P,HC-N,HC-HC
0,104.0,29.0,9.0,43.0,5.0,3.0,12.0,3.0,0.0,130.0,99.0,5.0,0.0,1.0,9758.0,9599.0,150.0,90.0,1.0,13.0,55.0,27.884615384615383,8.653846153846153,41.34615384615385,4.8076923076923075,2.8846153846153846,11.538461538461538,2.8846153846153846,0.0
1,149.0,45.0,13.0,52.0,4.0,5.0,26.0,4.0,0.0,113.0,144.0,5.0,0.0,1.0,9881.0,9722.0,161.0,117.0,5.0,27.0,78.0,30.201342281879196,8.724832214765101,34.899328859060404,2.684563758389262,3.3557046979865772,17.449664429530202,2.684563758389262,0.0
2,181.0,57.0,21.0,66.0,2.0,8.0,23.0,2.0,2.0,139.0,171.0,10.0,2.0,0.0,9854.0,9694.0,198.0,156.0,5.0,20.0,89.0,31.49171270718232,11.602209944751381,36.46408839779006,1.1049723756906078,4.419889502762431,12.707182320441989,1.1049723756906078,1.1049723756906078
3,147.0,37.0,20.0,52.0,1.0,11.0,20.0,4.0,2.0,117.0,139.0,8.0,1.0,3.0,9758.0,9596.0,160.0,107.0,8.0,32.0,72.0,25.170068027210885,13.605442176870747,35.374149659863946,0.6802721088435374,7.482993197278912,13.605442176870747,2.7210884353741496,1.3605442176870748
4,135.0,42.0,5.0,59.0,3.0,8.0,15.0,3.0,0.0,126.0,128.0,7.0,1.0,1.0,9976.0,9816.0,153.0,114.0,2.0,19.0,74.0,31.11111111111111,3.7037037037037037,43.7037037037037,2.2222222222222223,5.925925925925926,11.11111111111111,2.2222222222222223,0.0
5,201.0,54.0,21.0,90.0,1.0,11.0,15.0,6.0,3.0,147.0,199.0,2.0,0.0,1.0,10008.0,9849.0,210.0,176.0,2.0,23.0,105.0,26.865671641791046,10.447761194029852,44.776119402985074,0.4975124378109453,5.472636815920398,7.462686567164179,2.985074626865672,1.492537313432836
6,114.0,29.0,6.0,43.0,8.0,6.0,17.0,5.0,0.0,101.0,107.0,7.0,2.0,1.0,9988.0,9827.0,130.0,97.0,2.0,15.0,60.0,25.43859649122807,5.2631578947368425,37.719298245614034,7.017543859649122,5.2631578947368425,14.912280701754385,4.385964912280702,0.0
7,221.0,65.0,27.0,81.0,4.0,12.0,27.0,5.0,0.0,142.0,211.0,10.0,1.0,6.0,9825.0,9660.0,222.0,198.0,4.0,19.0,108.0,29.41176470588235,12.217194570135746,36.65158371040724,1.8099547511312217,5.429864253393665,12.217194570135746,2.262443438914027,0.0
8,118.0,34.0,15.0,38.0,0.0,3.0,25.0,2.0,1.0,121.0,116.0,2.0,1.0,1.0,9930.0,9770.0,149.0,98.0,3.0,17.0,63.0,28.8135593220339,12.711864406779661,32.20338983050848,0.0,2.542372881355932,21.1864406779661,1.694915254237288,0.847457627118644
9,136.0,40.0,16.0,49.0,3.0,7.0,16.0,4.0,1.0,116.0,132.0,4.0,2.0,5.0,9864.0,9699.0,163.0,113.0,1.0,22.0,65.0,29.41176470588235,11.764705882352942,36.029411764705884,2.2058823529411766,5.147058823529412,11.764705882352942,2.9411764705882355,0.7352941176470589
10,127.0,33.0,11.0,56.0,2.0,11.0,12.0,2.0,0.0,136.0,121.0,6.0,1.0,4.0,9811.0,9648.0,172.0,110.0,3.0,14.0,68.0,25.984251968503937,8.661417322834646,44.09448818897638,1.5748031496062993,8.661417322834646,9.448818897637794,1.5748031496062993,0.0
11,132.0,41.0,12.0,42.0,4.0,7.0,21.0,5.0,0.0,118.0,127.0,5.0,1.0,2.0,9914.0,9753.0,158.0,112.0,3.0,17.0,63.0,31.060606060606062,9.090909090909092,31.818181818181817,3.0303030303030303,5.303030303030303,15.909090909090908,3.787878787878788,0.0
12,157.0,47.0,21.0,58.0,2.0,8.0,18.0,3.0,0.0,138.0,153.0,4.0,0.0,3.0,9887.0,9726.0,188.0,135.0,2.0,20.0,76.0,29.936305732484076,13.375796178343949,36.94267515923567,1.2738853503184713,5.095541401273885,11.464968152866241,1.910828025477707,0.0
13,138.0,31.0,20.0,44.0,3.0,8.0,22.0,8.0,2.0,131.0,133.0,5.0,0.0,1.0,9926.0,9767.0,168.0,117.0,2.0,19.0,66.0,22.463768115942027,14.492753623188406,31.884057971014492,2.1739130434782608,5.797101449275362,15.942028985507246,5.797101449275362,1.4492753623188406
