,peak transmission
0,4.0
1,6.0
2,6.0
3,6.0
4,5.0
5,9.0
6,5.0
7,8.0
8,4.0
9,5.0
10,4.0
11,4.0
12,5.0
13,4.0
14,4.0
15,6.0
16,8.0
17,5.0
18,5.0
19,7.0
20,8.0
21,6.0
22,6.0
23,8.0
24,6.0
25,4.0
26,4.0
27,5.0
28,6.0
29,5.0
30,8.0
31,5.0
32,5.0
33,4.0
34,6.0
35,4.0
36,9.0
37,6.0
38,5.0
39,8.0
40,6.0
41,4.0
42,9.0
43,4.0
44,4.0
45,5.0
46,7.0
47,6.0
48,9.0
49,6.0
50,4.0
51,6.0
52,3.0
53,5.0
54,6.0
55,5.0
56,8.0
57,7.0
58,7.0
59,4.0
60,6.0
61,6.0
62,7.0
63,8.0
64,5.0
65,5.0
66,6.0
67,6.0
68,6.0
69,4.0
70,6.0
71,7.0
72,6.0
73,4.0
74,7.0
75,4.0
76,7.0
77,6.0
78,4.0
79,5.0
80,4.0
81,6.0
82,5.0
83,5.0
84,4.0
85,7.0
86,5.0
87,6.0
88,10.0
89,5.0
90,7.0
91,5.0
92,7.0
93,5.0
94,6.0
95,6.0
96,5.0
97,6.0
98,8.0
99,8.0
