,num_contacts_traced,num_positive_contacts,contact_tracing_time,num_sympt_patients_traced,hcw_time_of_infection,hcw_current_ward,num_sympt_hcws_traced,day,sim,prevalence,n_total,n_pos,pos_rate
0,12,0,78.64583333333333,0.0,70.0,23.0,0.0,78.0,0.0,0.0362903225806451,1107.0,32.0,0.0
1,4,0,86.0,0.0,81.0,3.0,0.0,86.0,0.0,0.1766917293233082,1155.0,104.0,0.0
2,10,1,79.28472222222223,0.0,74.0,5.0,0.0,79.0,0.0,0.0666666666666666,1087.0,40.0,10.0
3,17,1,92.9375,6.0,88.0,12.0,2.0,92.0,0.0,0.2409240924092409,1186.0,131.0,5.88235294117647
4,6,0,103.82638888888889,12.0,95.0,2.0,0.0,103.0,0.0,0.2145454545454545,1158.0,100.0,0.0
5,4,0,81.30555555555556,0.0,77.0,2.0,0.0,81.0,0.0,0.0893617021276595,1109.0,56.0,0.0
6,9,0,144.14583333333334,0.0,140.0,6.0,0.0,144.0,0.0,0.0201612903225806,1114.0,9.0,0.0
7,9,0,97.34027777777776,0.0,91.54166666666669,21.0,1.0,97.0,0.0,0.2159468438538206,1185.0,116.0,0.0
8,12,1,107.5,0.0,102.0,18.0,0.0,107.0,0.0,0.1844660194174757,1186.0,92.0,8.333333333333332
9,5,0,94.17361111111111,8.0,90.01388888888889,3.0,0.0,94.0,0.0,0.267741935483871,1206.0,137.0,0.0
10,8,0,86.20833333333333,0.0,82.0,23.0,0.0,86.0,0.0,0.1766917293233082,1151.0,104.0,0.0
11,3,0,83.69444444444444,2.0,82.0,6.0,0.0,83.0,0.0,0.1111111111111111,1148.0,72.0,0.0
12,11,0,217.60416666666663,0.0,214.0,26.0,0.0,217.0,0.0,0.0047846889952153,1072.0,4.0,0.0
13,14,0,154.30555555555554,0.0,148.0,27.0,1.0,154.0,0.0,0.0082304526748971,1104.0,5.0,0.0
14,12,0,115.9375,7.0,106.0,24.0,0.0,115.0,0.0,0.1226765799256505,1141.0,61.0,0.0
15,5,0,75.84722222222223,0.0,70.0,9.0,0.0,75.0,0.0,0.008130081300813,1112.0,12.0,0.0
16,16,1,103.15972222222224,12.0,99.0,12.0,0.0,103.0,0.0,0.2145454545454545,1148.0,99.0,6.25
17,7,0,117.43055555555556,0.0,107.0,9.0,0.0,117.0,0.0,0.1003460207612456,1162.0,49.0,0.0
18,15,0,84.77777777777777,1.0,81.36111111111111,14.0,0.0,84.0,0.0,0.1291512915129151,1140.0,82.0,0.0
19,3,0,88.98611111111111,5.0,83.0,6.0,0.0,88.0,0.0,0.2052238805970149,1157.0,116.0,0.0
20,18,0,115.1875,1.0,110.0,28.0,0.0,115.0,0.0,0.1226765799256505,1135.0,61.0,0.0
21,3,0,115.36805555555556,1.0,113.0,5.0,0.0,115.0,0.0,0.1226765799256505,1150.0,61.0,0.0
22,17,0,130.36111111111111,1.0,126.0,23.0,0.0,130.0,0.0,0.056,1108.0,24.0,0.0
23,14,1,92.98611111111111,0.0,88.0,23.0,0.0,92.0,0.0,0.2409240924092409,1189.0,131.0,7.142857142857142
24,4,0,99.29861111111111,5.0,93.0,8.0,0.0,99.0,0.0,0.2369337979094076,1171.0,112.0,0.0
25,11,3,86.70833333333333,1.0,83.41666666666667,10.0,1.0,86.0,0.0,0.1766917293233082,1148.0,101.0,27.27272727272727
26,8,0,89.45833333333333,0.0,82.36805555555556,13.0,0.0,89.0,0.0,0.2162162162162162,1184.0,125.0,0.0
27,6,0,102.9375,11.0,98.0,5.0,0.0,102.0,0.0,0.2195121951219512,1166.0,103.0,0.0
28,18,1,173.9375,0.0,170.20833333333334,23.0,0.0,173.0,0.0,0.0,1069.0,1.0,5.555555555555555
29,10,0,99.21527777777776,1.0,93.0,7.0,0.0,99.0,0.0,0.2369337979094076,1165.0,112.0,0.0
30,7,0,66.91666666666667,0.0,64.0,2.0,0.0,66.0,0.0,0.0042016806722689,1101.0,2.0,0.0
31,7,1,90.4375,0.0,87.0,25.0,0.0,90.0,0.0,0.2176870748299319,1185.0,127.0,14.285714285714285
32,8,0,111.25,0.0,103.0,9.0,0.0,111.0,0.0,0.1584158415841584,1179.0,75.0,0.0
33,5,0,135.15972222222223,1.0,126.0,6.0,0.0,135.0,0.0,0.0357142857142857,1125.0,16.0,0.0
34,12,0,82.57638888888889,0.0,74.83333333333333,15.0,0.0,82.0,0.0,0.0923694779116465,1117.0,63.0,0.0
35,8,0,103.11111111111111,1.0,98.0,6.0,0.0,103.0,0.0,0.2145454545454545,1156.0,100.0,0.0
36,11,0,85.29861111111111,1.0,81.0,2.0,0.0,85.0,0.0,0.1509433962264151,1143.0,88.0,0.0
37,10,1,88.89583333333333,0.0,87.16666666666667,27.0,0.0,88.0,0.0,0.2052238805970149,1150.0,115.0,10.0
