,patient_symptomatic,patient_asymptomatic,hcw_symptomatic,hcw_asymptomatic,patient_symptomatic_sum,patient_asymptomatic_sum,patient_to_hcw_sum,patient_nrow,hcw_symptomatic_sum,hcw_asymptomatic_sum,hcw_to_pat_sum,hcw_to_hcw_sum,hcw_nrow,total_counts
0,0.15813953488372093,0.21428571428571427,0.5447154471544715,0.2857142857142857,34.0,3.0,37,229,67.0,16.0,69,14,179,120.0
1,0.18,0.6,0.4065040650406504,0.22388059701492538,36.0,6.0,42,210,50.0,15.0,49,16,190,107.0
2,0.16826923076923078,0.18181818181818182,0.4888888888888889,0.25,35.0,2.0,37,219,66.0,12.0,54,24,183,115.0
3,0.10152284263959391,0.07142857142857142,0.47115384615384615,0.2765957446808511,20.0,1.0,21,211,49.0,13.0,53,9,151,83.0
4,0.12037037037037036,0.25,0.5614035087719298,0.2653061224489796,26.0,3.0,29,228,64.0,13.0,66,11,163,106.0
5,0.09090909090909091,0.25,0.30851063829787234,0.23214285714285715,17.0,2.0,19,195,29.0,13.0,34,8,150,61.0
6,0.11518324607329843,0.0,0.38405797101449274,0.13157894736842105,22.0,0.0,22,201,53.0,5.0,42,16,176,80.0
7,0.13636363636363635,0.2222222222222222,0.3870967741935484,0.2692307692307692,27.0,4.0,31,216,48.0,14.0,50,12,176,93.0
8,0.21052631578947367,0.2727272727272727,0.5606060606060606,0.2835820895522388,48.0,3.0,51,239,74.0,19.0,74,19,199,144.0
9,0.065,0.5,0.5247524752475248,0.3333333333333333,13.0,6.0,19,212,53.0,12.0,50,15,137,84.0
10,0.0979381443298969,0.3333333333333333,0.4823529411764706,0.16326530612244897,19.0,2.0,21,200,41.0,8.0,40,9,134,70.0
11,0.16097560975609757,0.1111111111111111,0.4351145038167939,0.26666666666666666,33.0,2.0,35,223,57.0,12.0,63,6,176,104.0
12,0.125,0.3333333333333333,0.5877192982456141,0.14545454545454545,26.0,5.0,31,223,67.0,8.0,60,15,169,106.0
13,0.09595959595959595,0.0,0.5283018867924528,0.19148936170212766,19.0,0.0,19,211,56.0,9.0,51,14,153,84.0
14,0.11,0.23529411764705882,0.5083333333333333,0.2549019607843137,22.0,4.0,26,217,61.0,13.0,55,19,171,100.0
15,0.08743169398907104,0.0,0.3269230769230769,0.058823529411764705,16.0,0.0,16,189,34.0,2.0,29,7,138,52.0
16,0.1689497716894977,0.4166666666666667,0.6062992125984252,0.23809523809523808,37.0,5.0,42,231,77.0,10.0,70,17,169,129.0
17,0.14545454545454545,0.2857142857142857,0.5725190839694656,0.1568627450980392,32.0,4.0,36,234,75.0,8.0,74,9,182,119.0
18,0.1643835616438356,0.3125,0.5448275862068965,0.21428571428571427,36.0,5.0,41,235,79.0,12.0,75,16,201,132.0
19,0.15736040609137056,0.15384615384615385,0.4,0.1951219512195122,31.0,2.0,33,210,52.0,8.0,49,11,171,93.0
20,0.16981132075471697,0.05,0.5190839694656488,0.26785714285714285,36.0,1.0,37,232,68.0,15.0,67,16,187,120.0
21,0.10824742268041238,0.4444444444444444,0.4083333333333333,0.1346153846153846,21.0,4.0,25,203,49.0,7.0,43,13,172,81.0
22,0.11458333333333333,0.5,0.3559322033898305,0.19607843137254902,22.0,5.0,27,202,42.0,10.0,42,10,169,79.0
