,peak transmission
0,4.0
1,6.0
2,8.0
3,9.0
4,6.0
5,7.0
6,6.0
7,5.0
8,6.0
9,6.0
10,6.0
11,3.0
12,6.0
13,6.0
14,4.0
15,4.0
16,7.0
17,5.0
18,5.0
19,5.0
20,4.0
21,9.0
22,5.0
23,5.0
24,6.0
25,8.0
26,6.0
27,5.0
28,7.0
29,8.0
30,5.0
31,5.0
32,6.0
33,7.0
34,6.0
35,5.0
36,5.0
37,4.0
38,6.0
39,7.0
40,6.0
41,7.0
42,5.0
43,6.0
44,5.0
45,7.0
46,7.0
47,8.0
48,6.0
49,5.0
50,5.0
51,7.0
52,8.0
53,7.0
54,6.0
55,7.0
56,6.0
57,7.0
58,5.0
59,8.0
60,6.0
61,7.0
62,7.0
63,5.0
64,10.0
65,5.0
66,5.0
67,6.0
68,10.0
69,8.0
70,6.0
71,6.0
72,5.0
73,7.0
74,5.0
75,6.0
76,6.0
77,6.0
78,6.0
79,7.0
80,5.0
81,9.0
82,4.0
83,5.0
84,5.0
85,7.0
86,7.0
87,9.0
88,4.0
89,10.0
90,7.0
91,7.0
92,10.0
93,5.0
94,6.0
95,7.0
96,6.0
97,8.0
98,7.0
99,5.0
