,peak transmission
0,7.0
1,7.0
2,7.0
3,6.0
4,6.0
5,9.0
6,4.0
7,9.0
8,6.0
9,8.0
10,5.0
11,5.0
12,6.0
13,5.0
14,6.0
15,4.0
16,8.0
17,5.0
18,9.0
19,5.0
20,6.0
21,8.0
22,9.0
23,5.0
24,6.0
25,8.0
26,8.0
27,6.0
28,8.0
29,6.0
30,4.0
31,10.0
32,8.0
33,7.0
34,6.0
35,5.0
36,7.0
37,5.0
38,5.0
39,6.0
40,7.0
41,6.0
42,9.0
43,6.0
44,6.0
45,9.0
46,6.0
47,6.0
48,8.0
49,6.0
50,6.0
51,8.0
52,7.0
53,4.0
54,5.0
55,6.0
56,6.0
57,6.0
58,8.0
59,8.0
60,4.0
61,7.0
62,8.0
63,5.0
64,8.0
65,5.0
66,6.0
67,7.0
68,8.0
69,6.0
70,7.0
71,6.0
72,7.0
73,6.0
74,6.0
75,6.0
76,6.0
77,6.0
78,7.0
79,11.0
80,5.0
81,5.0
82,4.0
83,4.0
84,5.0
85,6.0
86,7.0
87,12.0
88,6.0
89,8.0
90,6.0
91,5.0
92,8.0
93,4.0
94,6.0
95,8.0
96,6.0
97,5.0
98,5.0
99,6.0
