,peak transmission
0,10.0
1,15.0
2,13.0
3,10.0
4,11.0
5,10.0
6,14.0
7,12.0
8,12.0
9,12.0
10,14.0
11,10.0
12,12.0
13,10.0
14,20.0
15,16.0
16,9.0
17,12.0
18,13.0
19,13.0
20,11.0
21,16.0
22,11.0
23,11.0
24,11.0
25,16.0
26,13.0
27,16.0
28,11.0
29,12.0
30,16.0
31,11.0
32,21.0
33,16.0
34,11.0
35,15.0
36,11.0
37,11.0
38,10.0
39,7.0
40,12.0
41,8.0
42,11.0
43,10.0
44,8.0
45,11.0
46,15.0
47,13.0
48,7.0
49,15.0
50,14.0
51,12.0
52,15.0
53,8.0
54,12.0
55,9.0
56,10.0
57,14.0
58,16.0
59,16.0
60,11.0
61,13.0
62,13.0
63,9.0
64,10.0
65,10.0
66,11.0
67,10.0
68,10.0
69,9.0
70,9.0
71,13.0
72,15.0
73,11.0
74,8.0
75,7.0
76,13.0
77,12.0
78,9.0
79,13.0
80,17.0
81,18.0
82,13.0
83,10.0
84,10.0
85,11.0
86,11.0
87,12.0
88,17.0
89,16.0
90,12.0
91,14.0
92,11.0
93,9.0
94,14.0
95,11.0
96,19.0
97,8.0
98,9.0
99,15.0
