,total_prev,ci_lower,ci_upper
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,4.2553191489361e-05,0.0,0.0
57,4.5045045045045e-05,0.0,0.0
58,4.2553191489361e-05,0.0,0.0
59,0.004344480288307984,0.0038237401655405678,0.004810448451225102
60,0.004306250006567197,0.00380004049519835,0.0048906025824963974
61,0.004445980038197218,0.0037729266347686975,0.006401645618063431
62,0.004832679504516862,0.00385320760320755,0.009052006552006499
63,0.005337356082601861,0.00383841732979658,0.013387432995830815
64,0.005922325247237976,0.003860316040548545,0.01691518272187648
65,0.006409345942464444,0.0038307398708161476,0.020813833114068148
66,0.007177952139912458,0.0037872157256617278,0.01794160231660228
67,0.00805577634736152,0.003816121090278605,0.02386652273304535
68,0.009584266012873814,0.0038297216349541174,0.02857954545454539
69,0.012067750082730762,0.003990963855421645,0.042564577852188396
70,0.013729349325347511,0.0039840637450199,0.04620535714285709
71,0.016394371277409364,0.00412994466079114,0.04957963242276955
72,0.01902415015737461,0.004138365750746102,0.05108765953777156
73,0.02189714223651245,0.004183298319327692,0.05249749989582889
74,0.025139840018901703,0.0041485881542699,0.06790362714135317
75,0.029633764484870248,0.00435606060606059,0.0723277737490935
76,0.033374536144802874,0.0043647009459871575,0.08193364895421135
77,0.05783025766741866,0.0284552845528455,0.10469754703500828
78,0.06654590409479358,0.036342592592592565,0.11181844133599765
79,0.0877962239442483,0.05360294867870621,0.13974013250919062
80,0.10433244390263331,0.06498635803555707,0.1529890029325513
81,0.11127293842969033,0.06898314084694009,0.16052594914663867
82,0.12968178405588313,0.08441147859922175,0.18223320158102765
83,0.15693256661226476,0.10652493990384616,0.20028001687130928
84,0.1731584306048872,0.12270022246941044,0.2367558098703951
85,0.19253413917709353,0.1412027310924369,0.24756546644844504
86,0.2144595222390253,0.1615156546489563,0.2757490731949907
87,0.23915323085518175,0.17699285321605276,0.3052614920140241
88,0.25202755713534974,0.19483050847457623,0.3209471188316834
89,0.283146841454909,0.22655176116838482,0.3479800673113385
90,0.28179627396233625,0.2289897260273972,0.3473441237848017
91,0.29060357014363697,0.22978721258572002,0.3681304315804978
92,0.3090651312845919,0.2552417136191566,0.38283870545073373
93,0.3126202016879088,0.2583429295255642,0.3970776732845698
94,0.33004571216694645,0.2697852163414729,0.41844958202716825
95,0.3234741707786176,0.2712718706730683,0.40187012108918785
96,0.3114583982758236,0.2533156659653665,0.3873422167707404
97,0.3029088341038248,0.2559137713645279,0.36676141552511404
98,0.29448503463013287,0.24226132909643547,0.3616138178574462
99,0.3014888232440584,0.24917452830188677,0.36748697668508984
100,0.2992703705022426,0.2425587897906509,0.3752540076115788
101,0.28713204454141616,0.23200875957390613,0.3628140995812005
102,0.2831054946599675,0.2313964170877354,0.3528450915249819
103,0.2760533666907881,0.21942604555902953,0.34714020661062367
104,0.2838517442865559,0.2311220650210716,0.34863360323886633
105,0.27331302114051703,0.2171699183303085,0.3328732696110745
106,0.2736663131018692,0.22055863808322818,0.32753105513821373
107,0.26312728812486996,0.20652958152958154,0.3226515813384587
108,0.25372631242235977,0.19932692307692307,0.31052939967105264
109,0.24423894481063094,0.20053508416729335,0.2942341842397336
110,0.22981599082228613,0.18352915194346284,0.28269067796610164
111,0.22957934040192263,0.18064180537772087,0.28253759398496237
112,0.21471731196960986,0.1583845767103685,0.266111215379253
113,0.20157375166314334,0.1470148794884407,0.26645051194539243
114,0.19182384998006902,0.13709880447453926,0.23513579916018934
115,0.18152266733777864,0.12656641857454892,0.23126170168504256
116,0.16810933552633653,0.11713240051763178,0.2280176395865811
117,0.1615355136733354,0.11118081180811806,0.21930630879063628
118,0.15711274335798905,0.10717650986793287,0.23356442899017169
119,0.15090634540016645,0.10771859510532837,0.22096549589973682
120,0.13356406566132523,0.09206164807930599,0.19463345039508329
121,0.1316119846386772,0.09055823800326843,0.19202272285880745
122,0.11884510195658166,0.0820841401161767,0.18373117291484192
123,0.11061573021593014,0.07708333333333327,0.16581541218637985
124,0.10063048245329377,0.06522906078117381,0.15872246223611225
125,0.09356337084015193,0.059994243061896976,0.14923174789586996
126,0.09322302526083102,0.06151843304337529,0.1463800769045902
127,0.08534162266380756,0.056881381030317195,0.13904422035969957
128,0.08124225330524994,0.0525197127569698,0.13194475446428566
