,peak transmission
0,11.0
1,17.0
2,15.0
3,15.0
4,13.0
5,14.0
6,12.0
7,15.0
8,16.0
9,13.0
10,12.0
11,12.0
12,13.0
13,8.0
14,17.0
15,19.0
16,10.0
17,14.0
18,14.0
19,14.0
20,14.0
21,12.0
22,13.0
23,13.0
24,12.0
25,16.0
26,17.0
27,12.0
28,11.0
29,11.0
30,20.0
31,12.0
32,17.0
33,14.0
34,13.0
35,14.0
36,12.0
37,10.0
38,11.0
39,10.0
40,17.0
41,7.0
42,10.0
43,13.0
44,11.0
45,15.0
46,16.0
47,13.0
48,11.0
49,14.0
50,13.0
51,14.0
52,19.0
53,11.0
54,18.0
55,11.0
56,16.0
57,19.0
58,12.0
59,15.0
60,16.0
61,15.0
62,13.0
63,14.0
64,13.0
65,14.0
66,15.0
67,9.0
68,12.0
69,12.0
70,17.0
71,15.0
72,19.0
73,13.0
74,11.0
75,10.0
76,11.0
77,14.0
78,12.0
79,12.0
80,24.0
81,19.0
82,13.0
83,11.0
84,10.0
85,12.0
86,14.0
87,11.0
88,13.0
89,12.0
90,14.0
91,16.0
92,14.0
93,12.0
94,12.0
95,14.0
96,15.0
97,11.0
98,10.0
99,17.0
