,mean,median,ci_lower,ci_upper
168,95.97,95.0,67.05,130.45
169,96.01,95.0,67.525,130.45
170,96.04,95.0,67.525,130.45
171,96.07,95.0,67.525,130.9
172,96.11,95.0,67.525,130.9
173,96.18,96.0,68.05,130.9
174,96.21,96.0,68.05,130.9
175,96.24,96.0,68.05,130.9
176,96.33,96.0,68.05,130.9
177,96.41,96.0,68.05,130.9
178,96.48,96.0,68.05,130.9
179,96.55,96.0,68.05,130.9
180,96.58,96.0,68.05,130.9
181,96.61,96.0,68.525,130.9
182,96.68,96.0,69.0,130.9
183,96.75,96.0,69.0,130.9
184,96.87,96.87,69.0,130.9
185,96.95,96.95,69.0,130.9
186,97.04,97.0,69.0,130.9
187,97.14,97.0,69.0,130.9
188,97.16,97.0,69.0,131.45
189,97.25,97.25,69.0,131.45
190,97.36,97.36,69.0,131.45
191,97.41,98.0,69.0,131.45
192,97.46,98.0,69.0,131.45
193,97.48,98.0,69.0,131.45
194,97.56,98.0,69.0,131.45
195,97.64,98.0,69.0,131.45
196,97.68,98.0,69.0,131.45
197,97.76,99.0,69.0,131.45
198,97.81,99.0,69.0,131.45
199,97.87,99.0,69.0,131.45
200,97.98,99.0,69.0,131.45
201,98.1,99.0,69.0,131.45
202,98.18,99.0,69.0,131.45
203,98.25,99.0,69.0,131.45
204,98.32,99.0,69.0,131.45
205,98.42,99.0,69.525,131.45
206,98.46,99.0,69.525,131.45
207,98.55,99.0,69.525,131.45
208,98.63,99.0,69.525,131.45
209,98.74,99.0,69.525,131.45
210,98.84,99.0,69.525,131.45
211,98.92,99.0,69.525,131.45
212,99.06,99.0,69.525,132.0
213,99.14,99.0,69.525,132.45
214,99.17,99.0,69.525,132.45
215,99.26,99.0,69.525,132.45
216,99.36,99.0,69.525,132.9
217,99.44,99.0,69.525,132.9
218,99.53,99.0,69.525,132.9
219,99.64,99.0,69.525,132.9
220,99.72,99.72,69.525,132.9
221,99.84,100.0,69.525,132.9
222,99.96,100.0,69.525,133.45
223,100.09,100.09,70.0,133.45
224,100.18,100.18,70.0,133.45
225,100.24,100.24,70.0,134.0
226,100.4,100.4,70.0,134.45
227,100.55,100.55,70.0,134.45
228,100.64,100.64,70.0,134.9
229,100.82,100.82,70.0,134.9
230,100.95,100.95,70.0,134.9
231,101.03,101.03,70.0,134.9
232,101.17,101.17,70.0,134.9
233,101.29,101.29,70.0,135.35000000000002
234,101.49,101.49,70.0,135.35000000000002
235,101.71,101.71,70.0,135.9
236,101.92,101.92,70.0,136.45
237,101.99,101.99,70.0,136.45
238,102.16,102.0,70.0,136.45
