,peak transmission
0,2.0
1,2.0
2,2.0
3,2.0
4,2.0
5,2.0
6,2.0
7,2.0
8,2.0
9,2.0
10,2.0
11,2.0
12,2.0
13,2.0
14,1.0
15,2.0
16,2.0
17,1.0
18,2.0
19,1.0
20,1.0
21,3.0
22,1.0
23,2.0
24,3.0
25,2.0
26,2.0
27,2.0
28,1.0
29,3.0
30,1.0
31,2.0
32,2.0
33,1.0
34,2.0
35,2.0
36,3.0
37,2.0
38,3.0
39,1.0
40,2.0
41,2.0
42,2.0
43,2.0
44,2.0
45,2.0
46,3.0
47,2.0
48,2.0
49,1.0
50,3.0
51,2.0
52,3.0
53,2.0
54,2.0
55,3.0
56,2.0
57,3.0
58,2.0
59,2.0
60,1.0
61,2.0
62,2.0
63,4.0
64,2.0
65,3.0
66,3.0
67,2.0
68,3.0
69,2.0
70,2.0
71,2.0
72,2.0
73,1.0
74,2.0
75,2.0
76,3.0
77,2.0
78,1.0
79,2.0
80,3.0
81,3.0
82,1.0
83,3.0
84,2.0
85,2.0
86,2.0
87,2.0
88,1.0
89,1.0
90,2.0
91,2.0
92,2.0
93,2.0
94,2.0
95,3.0
96,3.0
97,2.0
98,3.0
99,2.0
