,peak transmission
0,9.0
1,12.0
2,9.0
3,10.0
4,15.0
5,12.0
6,9.0
7,20.0
8,9.0
9,8.0
10,9.0
11,9.0
12,11.0
13,8.0
14,15.0
15,15.0
16,10.0
17,12.0
18,8.0
19,9.0
20,13.0
21,8.0
22,17.0
23,11.0
24,13.0
25,17.0
26,12.0
27,10.0
28,11.0
29,10.0
30,9.0
31,8.0
32,13.0
33,11.0
34,9.0
35,14.0
36,13.0
37,9.0
38,11.0
39,9.0
40,11.0
41,11.0
42,6.0
43,9.0
44,9.0
45,11.0
46,7.0
47,11.0
48,6.0
49,9.0
50,11.0
51,8.0
52,8.0
53,10.0
54,12.0
55,15.0
56,13.0
57,11.0
58,9.0
59,10.0
60,9.0
61,10.0
62,7.0
63,10.0
64,9.0
65,10.0
66,12.0
67,9.0
68,12.0
69,10.0
70,8.0
71,8.0
72,8.0
73,9.0
74,12.0
75,7.0
76,14.0
77,14.0
78,13.0
79,11.0
80,11.0
81,7.0
82,13.0
83,11.0
84,7.0
85,9.0
86,9.0
87,14.0
88,14.0
89,10.0
90,12.0
91,7.0
92,14.0
93,6.0
94,7.0
95,14.0
96,10.0
97,13.0
98,12.0
99,7.0
