,mean,ci_lower,ci_upper
185,0.06,0.0,1.0
186,0.05,0.0,1.0
187,0.05,0.0,1.0
188,0.07,0.0,1.0
189,0.05,0.0,1.0
190,0.13,0.0,1.4749999999999943
191,0.08,0.0,1.0
192,0.1,0.0,1.0
193,0.1,0.0,1.0
194,0.09,0.0,2.0
195,0.07,0.0,1.0
196,0.08,0.0,1.0
197,0.11,0.0,1.4749999999999943
198,0.09,0.0,1.0
199,0.07,0.0,1.0
200,0.04,0.0,0.4959999999999945
201,0.06,0.0,1.0
202,0.09,0.0,1.0
203,0.07,0.0,1.0
204,0.07,0.0,1.0
205,0.12,0.0,2.0
206,0.08,0.0,1.0
207,0.06,0.0,1.0
208,0.07,0.0,1.0
209,0.04,0.0,0.4959999999999945
210,0.16,0.0,1.0
211,0.05,0.0,1.0
212,0.08,0.0,1.0
213,0.1,0.0,1.4749999999999943
214,0.12,0.0,1.4749999999999943
215,0.12,0.0,1.0
216,0.09,0.0,1.0
217,0.1,0.0,1.0
218,0.15,0.0,1.0
219,0.14,0.0,1.4749999999999943
220,0.21,0.0,2.4749999999999943
221,0.21,0.0,2.0
222,0.21,0.0,2.0
223,0.15,0.0,2.0
224,0.19,0.0,2.0
225,0.2,0.0,2.4749999999999943
226,0.32,0.0,4.0
227,0.15,0.0,1.4749999999999943
228,0.22,0.0,1.4749999999999943
229,0.27,0.0,2.0
230,0.25,0.0,2.4749999999999943
231,0.2,0.0,1.4749999999999943
232,0.27,0.0,2.0
233,0.15,0.0,1.4749999999999943
234,0.19,0.0,2.0
235,0.18,0.0,1.4749999999999943
236,0.15,0.0,2.0
237,0.19,0.0,2.0
238,0.17,0.0,1.4749999999999943
