,peak transmission
0,7.0
1,3.0
2,5.0
3,4.0
4,3.0
5,3.0
6,4.0
7,3.0
8,4.0
9,3.0
10,3.0
11,6.0
12,4.0
13,4.0
14,3.0
15,4.0
16,3.0
17,5.0
18,3.0
19,4.0
20,3.0
21,5.0
22,4.0
23,3.0
24,6.0
25,3.0
26,3.0
27,3.0
28,3.0
29,3.0
30,3.0
31,4.0
32,3.0
33,4.0
34,3.0
35,7.0
36,5.0
37,3.0
38,4.0
39,2.0
40,6.0
41,6.0
42,3.0
43,5.0
44,2.0
45,3.0
46,3.0
47,4.0
48,6.0
49,4.0
50,4.0
51,5.0
52,3.0
53,4.0
54,6.0
55,3.0
56,3.0
57,3.0
58,4.0
59,9.0
60,3.0
61,5.0
62,3.0
63,5.0
64,7.0
65,4.0
66,4.0
67,3.0
68,4.0
69,3.0
70,4.0
71,4.0
72,4.0
73,3.0
74,5.0
75,3.0
76,4.0
77,5.0
78,6.0
79,4.0
80,6.0
81,4.0
82,3.0
83,3.0
84,6.0
85,5.0
86,3.0
87,3.0
88,4.0
89,3.0
90,3.0
91,3.0
92,4.0
93,8.0
94,4.0
95,2.0
96,5.0
97,4.0
98,4.0
99,4.0
