,susceptible_mean,exposed_mean,mild_mean,severe_mean,recovered_mean,asymptomatic_mean,symptomatic_mean,susceptible_ci_lower,exposed_ci_lower,mild_ci_lower,severe_ci_lower,recovered_ci_lower,asymptomatic_ci_lower,symptomatic_ci_lower,susceptible_ci_upper,exposed_ci_upper,mild_ci_upper,severe_ci_upper,recovered_ci_upper,asymptomatic_ci_upper,symptomatic_ci_upper
142,230.78,0.47,0.11,4.85,6.14,0.17,4.96,205.375,0.0,0.0,4.0,5.0,0.0,4.0,258.575,3.0,1.0,7.0,8.0,1.0,7.5249999999999915
143,232.09,0.44,0.14,4.53,6.44,0.2,4.67,209.0,0.0,0.0,3.0,5.0,0.0,3.0,256.525,3.0,1.0,6.0,8.524999999999991,1.0,7.0
144,233.02,0.45,1.2,4.26,6.71,0.19,5.46,211.0,0.0,1.0,3.0,5.0,0.0,4.0,260.575,3.0,2.0,6.0,9.0,1.0,7.5249999999999915
145,233.46,0.52,0.17,3.96,6.97,0.21,4.13,208.8,0.0,0.0,3.0,6.0,0.0,3.0,262.525,3.0,1.0,6.0,9.0,1.0,6.0
146,233.66,0.4,0.17,3.74,7.15,0.19,3.91,200.95,0.0,0.0,3.0,6.0,0.0,3.0,253.0,2.5249999999999915,1.0,6.0,9.0,1.0,6.0
147,234.22,0.37,0.16,3.56,7.26,0.21,3.72,201.8,0.0,0.0,3.0,6.0,0.0,3.0,257.525,2.0,1.0,5.5249999999999915,9.0,1.0,6.0
148,234.56,0.34,1.19,3.41,7.41,0.18,4.6,202.375,0.0,1.0,3.0,6.0,0.0,4.0,260.525,2.0,2.5249999999999915,5.5249999999999915,9.0,1.0,7.0
149,234.7,0.3,1.2,3.33,6.47,0.15,4.53,205.95,0.0,1.0,3.0,5.0,0.0,4.0,262.525,2.0,3.0,5.0,8.0,1.0,6.5249999999999915
150,233.24,0.32,1.14,3.29,5.54,0.15,4.43,203.475,0.0,1.0,3.0,5.0,0.0,4.0,265.0,2.0,2.0,5.0,7.5249999999999915,1.5249999999999915,6.5249999999999915
151,232.69,0.28,1.16,3.26,5.52,0.13,4.42,204.0,0.0,1.0,3.0,5.0,0.0,4.0,263.67499999999995,2.0,2.5249999999999915,5.0,7.5249999999999915,1.0,6.0
152,233.83,0.28,1.12,2.24,5.58,0.11,3.36,207.425,0.0,0.4750000000000001,2.0,5.0,0.0,2.475,271.09999999999997,2.0,2.0,4.0,8.0,1.0,5.0
153,232.55,0.27,1.1,2.21,5.6,0.12,3.31,207.475,0.0,0.0,2.0,5.0,0.0,2.0,258.62499999999994,2.0,2.0,3.0,8.0,1.0,5.0
154,231.87,0.23,0.13,2.18,5.56,0.1,2.31,207.0,0.0,0.0,1.475,5.0,0.0,1.475,263.575,2.0,1.0,3.0,7.5249999999999915,1.0,4.0
155,231.2,0.21,1.12,2.12,5.58,0.09,3.24,202.95,0.0,1.0,1.0,5.0,0.0,2.0,260.575,1.5249999999999915,2.0,3.0,8.0,1.0,4.5249999999999915
156,230.72,0.17,1.12,2.03,5.62,0.1,3.15,201.85,0.0,1.0,1.0,5.0,0.0,2.0,257.0,1.0,2.0,3.0,8.0,1.0,4.5249999999999915
157,231.29,0.19,1.08,1.89,5.7,0.08,2.97,204.95,0.0,1.0,1.0,5.0,0.0,2.0,261.525,1.0,2.0,3.0,7.5249999999999915,1.0,4.5249999999999915
158,232.55,0.19,1.04,1.76,4.81,0.06,2.8,201.95,0.0,1.0,1.0,4.0,0.0,2.0,264.04999999999995,1.0,2.0,3.0,6.0,1.0,4.5249999999999915
159,232.97,0.17,0.05,1.61,4.94,0.06,1.66,209.9,0.0,0.0,1.0,4.0,0.0,1.0,259.0,1.0,1.0,3.0,6.0,1.0,3.0
160,233.39,0.08,0.12,1.45,5.09,0.06,1.57,208.95,0.0,0.0,1.0,4.0,0.0,1.0,251.52499999999998,1.0,1.0,3.0,7.0,1.0,3.0
161,233.62,0.05,0.09,1.25,5.25,0.06,1.34,204.0,0.0,0.0,1.0,4.0,0.0,1.0,260.0,1.0,1.0,2.0,7.0,1.0,3.0
162,232.24,0.07,0.07,1.13,5.37,0.06,1.2,206.475,0.0,0.0,1.0,5.0,0.0,1.0,258.0,1.0,1.0,2.0,7.0,1.0,2.5249999999999915
163,233.24,0.08,0.06,1.08,5.39,0.05,1.14,204.95,0.0,0.0,0.4750000000000001,5.0,0.0,0.4750000000000001,256.525,1.0,1.0,2.0,7.0,1.0,2.5249999999999915
164,233.7,0.09,0.03,1.01,4.45,0.04,1.04,205.475,0.0,0.0,0.0,4.0,0.0,0.0,263.09999999999997,1.0,0.0,2.0,6.0,1.0,2.0
165,234.84,0.05,0.03,0.93,4.47,0.02,0.96,205.95,0.0,0.0,0.0,4.0,0.0,0.0,266.62499999999994,1.0,0.5249999999999915,2.0,6.0,0.0,2.0
166,234.93,0.06,0.04,0.88,4.5,0.01,0.92,200.95,0.0,0.0,0.0,4.0,0.0,0.0,267.62499999999994,1.0,1.0,2.0,6.0,0.0,2.0
167,233.55,0.05,0.01,0.06,4.32,0.02,0.07,206.475,0.0,0.0,0.0,4.0,0.0,0.0,259.525,1.0,0.0,1.0,6.0,0.0,1.0
168,233.18,0.04,0.02,0.05,4.28,0.04,0.07,206.9,0.0,0.0,0.0,4.0,0.0,0.0,259.0,0.5249999999999915,0.0,1.0,5.0,0.5249999999999915,1.0
169,231.85,0.03,0.01,0.04,4.27,0.04,0.05,204.425,0.0,0.0,0.0,4.0,0.0,0.0,261.7249999999999,0.0,0.0,1.0,5.0,0.5249999999999915,1.0
170,232.59,0.04,0.01,0.05,4.26,0.05,0.06,200.0,0.0,0.0,0.0,4.0,0.0,0.0,263.09999999999997,1.0,0.0,1.0,5.0,0.5249999999999915,1.0
171,233.27,0.05,0.01,0.06,4.23,0.06,0.07,207.95,0.0,0.0,0.0,4.0,0.0,0.0,262.525,0.5249999999999915,0.0,1.0,5.0,1.0,1.0
172,233.4,0.05,0.02,0.05,4.24,0.03,0.07,200.9,0.0,0.0,0.0,4.0,0.0,0.0,259.525,1.0,0.0,1.0,5.0,0.5249999999999915,1.0
173,233.33,0.05,0.01,0.05,4.24,0.03,0.06,203.95,0.0,0.0,0.0,4.0,0.0,0.0,258.09999999999997,1.0,0.0,1.0,5.0,0.5249999999999915,1.0
174,233.89,0.05,0.02,0.05,4.23,0.03,0.07,205.95,0.0,0.0,0.0,4.0,0.0,0.0,260.525,0.5249999999999915,0.0,1.0,5.0,0.5249999999999915,1.0
175,232.97,0.07,0.03,0.05,4.21,0.04,0.08,204.475,0.0,0.0,0.0,4.0,0.0,0.0,258.09999999999997,1.0,0.5249999999999915,1.0,5.0,1.0,1.0
176,233.28,0.07,0.01,0.05,4.2,0.02,0.06,205.475,0.0,0.0,0.0,4.0,0.0,0.0,259.525,1.0,0.0,1.0,5.0,0.0,1.0
177,232.96,0.07,0.02,0.04,4.22,0.01,0.06,204.95,0.0,0.0,0.0,4.0,0.0,0.0,259.575,1.0,0.0,1.0,5.0,0.0,1.0
178,234.58,0.11,0.01,0.04,4.2,0.01,0.05,206.0,0.0,0.0,0.0,4.0,0.0,0.0,261.0,1.0,0.0,1.0,5.0,0.0,1.0
179,233.5,0.08,0.01,0.05,4.2,0.02,0.06,206.95,0.0,0.0,0.0,4.0,0.0,0.0,259.04999999999995,1.0,0.0,1.0,5.0,0.0,1.0
180,232.78,0.08,0.02,0.05,4.17,0.02,0.07,207.95,0.0,0.0,0.0,4.0,0.0,0.0,262.0,1.0,0.0,1.0,5.0,0.0,1.0
181,232.54,0.08,0.02,0.05,4.17,0.03,0.07,212.475,0.0,0.0,0.0,4.0,0.0,0.0,261.525,1.0,0.0,1.0,5.0,0.0,1.0
182,233.55,0.06,0.03,0.04,4.17,0.05,0.07,205.475,0.0,0.0,0.0,4.0,0.0,0.0,266.09999999999997,1.0,0.5249999999999915,1.0,5.0,1.0,1.0
183,233.7,0.06,0.04,0.03,4.17,0.04,0.07,210.0,0.0,0.0,0.0,4.0,0.0,0.0,261.0,1.0,1.0,0.5249999999999915,5.0,0.5249999999999915,1.0
184,232.76,0.09,0.04,0.02,4.17,0.05,0.06,210.0,0.0,0.0,0.0,4.0,0.0,0.0,261.0,1.0,1.0,0.0,5.0,1.0,1.0
185,232.57,0.11,0.03,0.02,4.17,0.04,0.05,207.475,0.0,0.0,0.0,4.0,0.0,0.0,265.0,1.0,0.5249999999999915,0.0,5.0,1.0,0.5249999999999915
186,232.79,0.08,0.03,0.02,4.17,0.06,0.05,201.375,0.0,0.0,0.0,4.0,0.0,0.0,268.04999999999995,1.0,0.5249999999999915,0.0,5.0,1.0,0.5249999999999915
187,231.96,0.08,0.03,0.02,4.16,0.07,0.05,204.425,0.0,0.0,0.0,4.0,0.0,0.0,264.575,1.0,0.5249999999999915,0.0,5.0,1.0,0.5249999999999915
188,231.06,0.05,0.03,0.02,4.14,0.07,0.05,206.0,0.0,0.0,0.0,4.0,0.0,0.0,255.04999999999998,1.0,0.5249999999999915,0.0,5.0,1.0,0.5249999999999915
189,232.54,0.08,0.02,0.02,4.15,0.06,0.04,205.475,0.0,0.0,0.0,4.0,0.0,0.0,264.575,1.0,0.0,0.0,5.0,1.0,0.5249999999999915
190,232.86,0.06,0.02,0.03,4.15,0.05,0.05,205.475,0.0,0.0,0.0,4.0,0.0,0.0,265.575,1.0,0.0,0.5249999999999915,5.0,1.0,1.0
191,233.22,0.09,0.02,0.03,4.15,0.05,0.05,208.475,0.0,0.0,0.0,4.0,0.0,0.0,267.575,1.0,0.0,0.5249999999999915,5.0,1.0,1.0
192,232.39,0.12,0.01,0.03,4.13,0.04,0.04,203.95,0.0,0.0,0.0,4.0,0.0,0.0,258.525,1.0,0.0,0.5249999999999915,5.0,1.0,1.0
193,232.45,0.12,0.02,0.03,4.13,0.04,0.05,203.475,0.0,0.0,0.0,4.0,0.0,0.0,268.0,1.0,0.0,0.5249999999999915,5.0,1.0,1.0
194,231.75,0.12,0.02,0.03,4.12,0.03,0.05,206.95,0.0,0.0,0.0,4.0,0.0,0.0,262.0,1.0,0.0,0.5249999999999915,5.0,0.5249999999999915,1.0
195,229.98,0.11,0.02,0.03,4.11,0.03,0.05,201.95,0.0,0.0,0.0,4.0,0.0,0.0,262.09999999999997,1.0,0.0,0.5249999999999915,5.0,0.5249999999999915,1.0
196,230.94,0.12,0.01,0.03,4.1,0.02,0.04,205.0,0.0,0.0,0.0,4.0,0.0,0.0,259.0,1.0,0.0,0.5249999999999915,5.0,0.0,1.0
197,231.3,0.09,0.02,0.05,4.08,0.01,0.07,205.475,0.0,0.0,0.0,4.0,0.0,0.0,257.09999999999997,1.0,0.0,1.0,5.0,0.0,1.0
198,231.53,0.06,0.05,0.06,4.07,0.03,0.11,205.475,0.0,0.0,0.0,4.0,0.0,0.0,258.15,1.0,0.5249999999999915,1.0,5.0,0.5249999999999915,1.0
199,230.84,0.06,0.05,0.06,4.05,0.03,0.11,201.0,0.0,0.0,0.0,4.0,0.0,0.0,255.0,1.0,1.0,1.0,5.0,0.5249999999999915,1.0
200,230.32,0.07,0.06,0.06,4.07,0.02,0.12,202.425,0.0,0.0,0.0,4.0,0.0,0.0,255.52499999999998,1.0,0.5249999999999915,1.0,5.0,0.0,1.0
201,229.12,0.1,0.05,0.05,4.08,0.03,0.1,196.0,0.0,0.0,0.0,4.0,0.0,0.0,256.0,1.0,0.0,1.0,5.0,0.5249999999999915,1.0
