,peak transmission
0,4.0
1,4.0
2,8.0
3,6.0
4,5.0
5,5.0
6,4.0
7,5.0
8,4.0
9,2.0
10,4.0
11,7.0
12,4.0
13,6.0
14,4.0
15,3.0
16,5.0
17,4.0
18,4.0
19,4.0
20,4.0
21,5.0
22,4.0
23,3.0
24,7.0
25,5.0
26,7.0
27,4.0
28,4.0
29,3.0
30,3.0
31,7.0
32,3.0
33,4.0
34,3.0
35,4.0
36,4.0
37,3.0
38,3.0
39,3.0
40,4.0
41,4.0
42,3.0
43,4.0
44,3.0
45,4.0
46,3.0
47,4.0
48,3.0
49,5.0
50,5.0
51,5.0
52,3.0
53,4.0
54,4.0
55,4.0
56,3.0
57,5.0
58,4.0
59,5.0
60,3.0
61,5.0
62,4.0
63,4.0
64,3.0
65,7.0
66,4.0
67,3.0
68,3.0
69,6.0
70,4.0
71,4.0
72,5.0
73,3.0
74,4.0
75,3.0
76,4.0
77,3.0
78,4.0
79,4.0
80,6.0
81,4.0
82,4.0
83,3.0
84,5.0
85,5.0
86,5.0
87,6.0
88,5.0
89,3.0
90,4.0
91,4.0
92,4.0
93,5.0
94,5.0
95,2.0
96,4.0
97,3.0
98,5.0
99,7.0
