,peak transmission
0,17.0
1,15.0
2,16.0
3,18.0
4,16.0
5,14.0
6,15.0
7,18.0
8,15.0
9,13.0
10,20.0
11,12.0
12,12.0
13,24.0
14,21.0
15,19.0
16,11.0
17,18.0
18,20.0
19,18.0
20,18.0
21,16.0
22,14.0
23,15.0
24,16.0
25,22.0
26,17.0
27,15.0
28,10.0
29,21.0
30,10.0
31,11.0
32,13.0
33,20.0
34,12.0
35,13.0
36,19.0
37,17.0
38,17.0
39,15.0
40,17.0
41,15.0
42,17.0
43,17.0
44,15.0
45,14.0
46,20.0
47,21.0
48,16.0
49,15.0
50,15.0
51,19.0
52,15.0
53,17.0
54,16.0
55,18.0
56,11.0
57,13.0
58,18.0
59,22.0
60,25.0
61,15.0
62,12.0
63,25.0
64,16.0
65,14.0
66,14.0
67,18.0
68,15.0
69,17.0
70,28.0
71,9.0
72,14.0
73,11.0
74,15.0
75,13.0
76,19.0
77,16.0
78,13.0
79,13.0
80,21.0
81,15.0
82,15.0
83,18.0
84,15.0
85,14.0
86,11.0
87,16.0
88,21.0
89,14.0
90,22.0
91,19.0
92,20.0
93,12.0
94,15.0
95,18.0
96,18.0
97,15.0
98,18.0
99,13.0
