,peak transmission
0,7.0
1,8.0
2,14.0
3,6.0
4,8.0
5,7.0
6,6.0
7,6.0
8,7.0
9,6.0
10,7.0
11,8.0
12,8.0
13,9.0
14,4.0
15,5.0
16,6.0
17,7.0
18,8.0
19,7.0
20,8.0
21,9.0
22,7.0
23,6.0
24,8.0
25,7.0
26,8.0
27,7.0
28,9.0
29,7.0
30,9.0
31,11.0
32,5.0
33,7.0
34,6.0
35,10.0
36,5.0
37,8.0
38,6.0
39,6.0
40,6.0
41,6.0
42,9.0
43,11.0
44,7.0
45,7.0
46,8.0
47,9.0
48,10.0
49,7.0
50,10.0
51,14.0
52,11.0
53,8.0
54,4.0
55,7.0
56,8.0
57,5.0
58,4.0
59,16.0
60,9.0
61,6.0
62,7.0
63,5.0
64,9.0
65,6.0
66,12.0
67,7.0
68,7.0
69,7.0
70,9.0
71,8.0
72,9.0
73,10.0
74,8.0
75,11.0
76,9.0
77,9.0
78,9.0
79,8.0
80,9.0
81,7.0
82,7.0
83,7.0
84,8.0
85,6.0
86,8.0
87,5.0
88,5.0
89,6.0
90,7.0
91,7.0
92,6.0
93,7.0
94,13.0
95,6.0
96,7.0
97,9.0
98,8.0
99,6.0
