,peak transmission
0,6.0
1,6.0
2,6.0
3,7.0
4,6.0
5,9.0
6,6.0
7,9.0
8,7.0
9,6.0
10,7.0
11,5.0
12,6.0
13,5.0
14,5.0
15,8.0
16,8.0
17,6.0
18,6.0
19,9.0
20,9.0
21,5.0
22,7.0
23,6.0
24,5.0
25,6.0
26,4.0
27,9.0
28,6.0
29,9.0
30,7.0
31,10.0
32,8.0
33,5.0
34,8.0
35,6.0
36,6.0
37,8.0
38,7.0
39,8.0
40,8.0
41,8.0
42,7.0
43,5.0
44,6.0
45,10.0
46,6.0
47,5.0
48,7.0
49,7.0
50,8.0
51,8.0
52,5.0
53,8.0
54,6.0
55,10.0
56,5.0
57,6.0
58,5.0
59,4.0
60,8.0
61,5.0
62,8.0
63,7.0
64,7.0
65,5.0
66,5.0
67,5.0
68,7.0
69,5.0
70,6.0
71,5.0
72,5.0
73,8.0
74,9.0
75,15.0
76,8.0
77,6.0
78,5.0
79,4.0
80,5.0
81,6.0
82,6.0
83,8.0
84,7.0
85,5.0
86,8.0
87,7.0
88,8.0
89,4.0
90,5.0
91,4.0
92,4.0
93,5.0
94,5.0
95,10.0
96,7.0
97,6.0
98,7.0
99,9.0
